# Elastic modulus look-up table for elastic spheres
# deformed in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering 3(11) 2017
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# The simulations were performed by S. Aland, D. Mokbel.
# The look-up table was assembled by S. Aland, D. Mokbel, C. Herold.
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: numerical
# - method details: FEM, linear elastic model
#
# apparent_area_um^2 deformation elastic_modulus_kPa
3.39547e+01 6.76000e-03 2.52036e+00
3.39596e+01 6.97500e-03 2.48217e+00
3.39642e+01 7.19400e-03 2.44398e+00
3.51021e+01 6.99200e-03 2.52036e+00
3.39691e+01 7.42300e-03 2.40579e+00
3.51073e+01 7.21500e-03 2.48217e+00
3.39743e+01 7.66300e-03 2.36761e+00
3.51123e+01 7.44300e-03 2.44398e+00
3.39797e+01 7.91400e-03 2.32942e+00
3.62749e+01 7.19700e-03 2.52036e+00
3.51176e+01 7.68000e-03 2.40579e+00
3.62807e+01 7.42500e-03 2.48217e+00
3.39854e+01 8.17900e-03 2.29123e+00
3.51232e+01 7.92800e-03 2.36761e+00
3.62862e+01 7.66000e-03 2.44398e+00
3.39914e+01 8.45700e-03 2.25305e+00
3.74612e+01 7.43800e-03 2.52036e+00
3.51290e+01 8.18900e-03 2.32942e+00
3.62920e+01 7.90600e-03 2.40579e+00
3.39977e+01 8.75000e-03 2.21486e+00
3.74675e+01 7.67500e-03 2.48217e+00
3.51351e+01 8.46300e-03 2.29123e+00
3.62981e+01 8.16300e-03 2.36761e+00
3.74734e+01 7.91800e-03 2.44398e+00
3.40043e+01 9.05900e-03 2.17667e+00
3.51416e+01 8.75100e-03 2.25305e+00
3.86680e+01 7.65700e-03 2.52036e+00
3.63045e+01 8.43300e-03 2.32942e+00
3.74797e+01 8.17300e-03 2.40579e+00
3.40114e+01 9.38500e-03 2.13848e+00
3.86747e+01 7.90200e-03 2.48217e+00
3.51484e+01 9.05500e-03 2.21486e+00
3.63113e+01 8.71700e-03 2.29123e+00
3.74862e+01 8.43900e-03 2.36761e+00
3.86810e+01 8.15300e-03 2.44398e+00
3.40188e+01 9.73000e-03 2.10030e+00
3.51556e+01 9.37500e-03 2.17667e+00
3.63183e+01 9.01600e-03 2.25305e+00
3.98936e+01 7.90200e-03 2.52036e+00
3.74931e+01 8.71900e-03 2.32942e+00
3.86877e+01 8.41600e-03 2.40579e+00
3.99008e+01 8.15500e-03 2.48217e+00
3.63258e+01 9.33100e-03 2.21486e+00
3.51632e+01 9.71400e-03 2.13848e+00
3.40266e+01 1.00940e-02 2.06211e+00
3.75004e+01 9.01300e-03 2.29123e+00
3.86947e+01 8.69100e-03 2.36761e+00
3.99077e+01 8.41500e-03 2.44398e+00
3.63337e+01 9.66300e-03 2.17667e+00
3.75080e+01 9.32200e-03 2.25305e+00
3.51712e+01 1.00710e-02 2.10030e+00
4.11414e+01 8.18300e-03 2.52036e+00
3.87021e+01 8.98000e-03 2.32942e+00
3.40350e+01 1.04800e-02 2.02392e+00
3.99148e+01 8.68700e-03 2.40579e+00
4.11493e+01 8.44600e-03 2.48217e+00
3.63421e+01 1.00140e-02 2.13848e+00
3.75161e+01 9.64900e-03 2.21486e+00
3.87098e+01 9.28400e-03 2.29123e+00
3.51797e+01 1.04490e-02 2.06211e+00
3.99224e+01 8.97100e-03 2.36761e+00
3.40438e+01 1.08890e-02 1.98574e+00
4.11567e+01 8.71600e-03 2.44398e+00
3.87180e+01 9.60400e-03 2.25305e+00
3.75245e+01 9.99300e-03 2.17667e+00
3.63509e+01 1.03850e-02 2.10030e+00
4.24091e+01 8.45900e-03 2.52036e+00
3.99303e+01 9.27000e-03 2.32942e+00
3.51887e+01 1.08490e-02 2.02392e+00
4.11645e+01 8.99800e-03 2.40579e+00
3.40532e+01 1.13240e-02 1.94755e+00
4.24176e+01 8.73000e-03 2.48217e+00
3.87266e+01 9.94100e-03 2.21486e+00
3.99386e+01 9.58400e-03 2.29123e+00
3.75335e+01 1.03560e-02 2.13848e+00
3.63602e+01 1.07770e-02 2.06211e+00
4.11726e+01 9.29300e-03 2.36761e+00
3.51982e+01 1.12740e-02 1.98574e+00
4.24255e+01 9.00900e-03 2.44398e+00
3.87357e+01 1.02970e-02 2.17667e+00
3.40631e+01 1.17850e-02 1.90936e+00
3.99474e+01 9.91500e-03 2.25305e+00
4.36966e+01 8.72500e-03 2.52036e+00
3.75430e+01 1.07400e-02 2.10030e+00
4.11812e+01 9.60300e-03 2.32942e+00
3.63701e+01 1.11920e-02 2.02392e+00
4.24339e+01 9.30100e-03 2.40579e+00
4.37058e+01 9.00600e-03 2.48217e+00
