# This look-up table was introduced in dclab 0.24.0 and replaces the
# initial table with relative errors in Young's modulus below 0.1 %. 
# Due to the fact that the FEM simulations were missing a few points
# for low deformation (< 0.005) and area (< 200um^2), the simulation
# data were complemented with analytical results. They are available
# on figshare (https://doi.org/10.6084/m9.figshare.12155064.v2). The
# model computations take into account the equivalent channel radius
# for a square channel cross-section with the factor 1.094 (see also
# supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006).
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
3.64233e+01	1.08169e-01	7.40832e-01
3.79421e+01	1.18187e-01	7.40832e-01
3.90265e+01	1.11389e-01	7.62981e-01
3.54696e+01	7.18180e-02	8.40119e-01
3.67720e+01	7.54690e-02	8.40119e-01
3.81193e+01	7.92910e-02	8.40119e-01
3.95042e+01	8.39020e-02	8.40119e-01
4.09147e+01	8.82800e-02	8.40119e-01
4.23900e+01	9.38520e-02	8.40119e-01
4.39896e+01	1.00987e-01	8.40119e-01
4.55690e+01	1.07476e-01	8.40119e-01
3.40043e+01	9.05900e-03	2.17667e+00
3.51556e+01	9.37500e-03	2.17667e+00
4.64343e+01	1.25000e-02	2.17667e+00
4.77897e+01	1.29160e-02	2.17667e+00
4.91591e+01	1.32770e-02	2.17667e+00
5.05607e+01	1.37980e-02	2.17667e+00
5.19775e+01	1.42590e-02	2.17667e+00
5.34149e+01	1.47050e-02	2.17667e+00
5.48735e+01	1.51620e-02	2.17667e+00
5.63524e+01	1.56000e-02	2.17667e+00
5.78543e+01	1.60840e-02	2.17667e+00
5.93802e+01	1.65780e-02	2.17667e+00
3.63337e+01	9.66400e-03	2.17667e+00
6.09267e+01	1.70860e-02	2.17667e+00
6.24928e+01	1.75300e-02	2.17667e+00
6.40870e+01	1.81730e-02	2.17667e+00
6.56997e+01	1.87270e-02	2.17667e+00
6.73367e+01	1.92730e-02	2.17667e+00
6.89965e+01	1.98190e-02	2.17667e+00
7.06749e+01	2.04220e-02	2.17667e+00
7.23861e+01	2.09930e-02	2.17667e+00
7.41108e+01	2.16180e-02	2.17667e+00
