# This hyperelastic look-up table was extracted from FEM simulations by
# Lucas Wittwer (https://doi.org/10.6084/m9.figshare.20630940) and made
# available in dclab 0.46.0. These model computations take into account
# an equivalent channel radius for a square channel cross-section using
# the factor 1.094 (see https://doi.org/10.1016/j.bpj.2015.09.006, S3).
# Note that this table was additionally complemented at the convex hull
# by fitting a 2nd order polynomial to the isoelasticity lines and then
# extrapolating the resulting isoelastics model to the convex hull.
#
# BEGIN METADATA
# {
#   "authors": "L. D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2022-08-26",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_consistency_coefficient": 0.4057,
#   "fluid_consistency_coefficient_unit": "Pa s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_flow_behaviour_index": 0.6039,
#   "fluid_flow_behaviour_index_unit": "",
#   "fluid_viscosity": 6.0,
#   "fluid_viscosity_unit": "mPa s",
#   "identifier": "HE-2D-FEM-22",
#   "method": "FEM",
#   "model": "hyper-elastic solid / non-Newtonian fluid",
#   "publication": "https://arxiv.org/abs/2208.12552",
#   "software": "COMSOL 5.5",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a hyper-elastic elasticity model and non-Newtonian fluid"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
2.81747e+01	7.63400e-02	3.77000e-01
2.90877e+01	8.65540e-02	3.77000e-01
2.82914e+01	7.24120e-02	3.81000e-01
2.92704e+01	8.09840e-02	3.81000e-01
2.88328e+01	5.21670e-02	4.15000e-01
3.00021e+01	5.60880e-02	4.15000e-01
3.11433e+01	6.02860e-02	4.15000e-01
3.22586e+01	6.50740e-02	4.15000e-01
3.43592e+01	7.68920e-02	4.15000e-01
3.53059e+01	8.48710e-02	4.15000e-01
2.99190e+01	3.64500e-03	1.32600e+00
3.12274e+01	3.81400e-03	1.32600e+00
4.29044e+01	5.37400e-03	1.32600e+00
1.61785e+02	2.96860e-02	1.32600e+00
1.63182e+02	3.00780e-02	1.32600e+00
1.64541e+02	3.05080e-02	1.32600e+00
1.66003e+02	3.08770e-02	1.32600e+00
1.67378e+02	3.12650e-02	1.32600e+00
1.68744e+02	3.17270e-02	1.32600e+00
1.70206e+02	3.20750e-02	1.32600e+00
1.73072e+02	3.28990e-02	1.32600e+00
4.42086e+01	5.55400e-03	1.32600e+00
1.75925e+02	3.37260e-02	1.32600e+00
1.78817e+02	3.45680e-02	1.32600e+00
1.81697e+02	3.54100e-02	1.32600e+00
1.83178e+02	3.58450e-02	1.32600e+00
1.84404e+02	3.64470e-02	1.32600e+00
1.86063e+02	3.66940e-02	1.32600e+00
4.55082e+01	5.73600e-03	1.32600e+00
1.90518e+02	3.80060e-02	1.32600e+00
1.94955e+02	3.93180e-02	1.32600e+00
1.99483e+02	4.06550e-02	1.32600e+00
2.04046e+02	4.20010e-02	1.32600e+00
4.68028e+01	5.91600e-03	1.32600e+00
2.07102e+02	4.28970e-02	1.32600e+00
2.11702e+02	4.42470e-02	1.32600e+00
2.16392e+02	4.56110e-02	1.32600e+00
4.81153e+01	6.10100e-03	1.32600e+00
2.21114e+02	4.69760e-02	1.32600e+00
2.25928e+02	4.83580e-02	1.32600e+00
2.30769e+02	4.97340e-02	1.32600e+00
2.35636e+02	5.11050e-02	1.32600e+00
4.93960e+01	6.28400e-03	1.32600e+00
2.40525e+02	5.24690e-02	1.32600e+00
2.45501e+02	5.38370e-02	1.32600e+00
2.50494e+02	5.52020e-02	1.32600e+00
5.06939e+01	6.47000e-03	1.32600e+00
2.55573e+02	5.65710e-02	1.32600e+00
2.57286e+02	5.70270e-02	1.32600e+00
2.58910e+02	5.74880e-02	1.32600e+00
2.60664e+02	5.79280e-02	1.32600e+00
2.65765e+02	5.92690e-02	1.32600e+00
5.20085e+01	6.66000e-03	1.32600e+00
2.70945e+02	6.06220e-02	1.32600e+00
2.72620e+02	6.11040e-02	1.32600e+00
2.74468e+02	6.15330e-02	1.32600e+00
2.76204e+02	6.19810e-02	1.32600e+00
2.77895e+02	6.24670e-02	1.32600e+00
2.79703e+02	6.28740e-02	1.32600e+00
2.86653e+02	6.47110e-02	1.32600e+00
5.32888e+01	6.84500e-03	1.32600e+00
2.88366e+02	6.51440e-02	1.32600e+00
2.90245e+02	6.55330e-02	1.32600e+00
2.91974e+02	6.60560e-02	1.32600e+00
2.97286e+02	6.73860e-02	1.32600e+00
3.02669e+02	6.87240e-02	1.32600e+00
3.04565e+02	6.90750e-02	1.32600e+00
5.45840e+01	7.03400e-03	1.32600e+00
3.06241e+02	6.96040e-02	1.32600e+00
3.09845e+02	7.04920e-02	1.32600e+00
3.11790e+02	7.08320e-02	1.32600e+00
3.13476e+02	7.13800e-02	1.32600e+00
3.17136e+02	7.22710e-02	1.32600e+00
3.19047e+02	7.25820e-02	1.32600e+00
3.20743e+02	7.31490e-02	1.32600e+00
3.22599e+02	7.35950e-02	1.32600e+00
3.25233e+01	3.98300e-03	1.32600e+00
5.58949e+01	7.22800e-03	1.32600e+00
5.71949e+01	7.42100e-03	1.32600e+00
5.84828e+01	7.61400e-03	1.32600e+00
5.97850e+01	7.80900e-03	1.32600e+00
6.10740e+01	8.00700e-03	1.32600e+00
6.23768e+01	8.20700e-03	1.32600e+00
6.36657e+01	8.40500e-03	1.32600e+00
6.49672e+01	8.61000e-03	1.32600e+00
6.62824e+01	8.81500e-03	1.32600e+00
6.75817e+01	9.02200e-03	1.32600e+00
3.38248e+01	4.15300e-03	1.32600e+00
6.88649e+01	9.22700e-03	1.32600e+00
7.01596e+01	9.43600e-03	1.32600e+00
7.14672e+01	9.64800e-03	1.32600e+00
7.27564e+01	9.86000e-03	1.32600e+00
7.40578e+01	1.00750e-02	1.32600e+00
7.53703e+01	1.02940e-02	1.32600e+00
7.66641e+01	1.05120e-02	1.32600e+00
7.79694e+01	1.07340e-02	1.32600e+00
7.92539e+01	1.09540e-02	1.32600e+00
8.05498e+01	1.11770e-02	1.32600e+00
3.51310e+01	4.32700e-03	1.32600e+00
8.18557e+01	1.14060e-02	1.32600e+00
8.31732e+01	1.16380e-02	1.32600e+00
8.44685e+01	1.18670e-02	1.32600e+00
8.57749e+01	1.21010e-02	1.32600e+00
8.70583e+01	1.23320e-02	1.32600e+00
8.83515e+01	1.25680e-02	1.32600e+00
8.96549e+01	1.28090e-02	1.32600e+00
9.09682e+01	1.30520e-02	1.32600e+00
9.22574e+01	1.32930e-02	1.32600e+00
9.35909e+01	1.35450e-02	1.32600e+00
3.64190e+01	4.49600e-03	1.32600e+00
9.61833e+01	1.40410e-02	1.32600e+00
9.74756e+01	1.42930e-02	1.32600e+00
1.00090e+02	1.48050e-02	1.32600e+00
1.02740e+02	1.53370e-02	1.32600e+00
1.05356e+02	1.58690e-02	1.32600e+00
3.77304e+01	4.67200e-03	1.32600e+00
1.07970e+02	1.64120e-02	1.32600e+00
1.10583e+02	1.69640e-02	1.32600e+00
1.13231e+02	1.75320e-02	1.32600e+00
1.15876e+02	1.81100e-02	1.32600e+00
1.18517e+02	1.86980e-02	1.32600e+00
3.90205e+01	4.84500e-03	1.32600e+00
1.21153e+02	1.92930e-02	1.32600e+00
1.23783e+02	1.98980e-02	1.32600e+00
1.26447e+02	2.05200e-02	1.32600e+00
1.29105e+02	2.11520e-02	1.32600e+00
1.31796e+02	2.18020e-02	1.32600e+00
4.03097e+01	5.02000e-03	1.32600e+00
1.34480e+02	2.24610e-02	1.32600e+00
1.37156e+02	2.31260e-02	1.32600e+00
1.39866e+02	2.38120e-02	1.32600e+00
1.42566e+02	2.45050e-02	1.32600e+00
1.45256e+02	2.52050e-02	1.32600e+00
4.16196e+01	5.19800e-03	1.32600e+00
1.47980e+02	2.59270e-02	1.32600e+00
1.50739e+02	2.66640e-02	1.32600e+00
1.53440e+02	2.73980e-02	1.32600e+00
1.56222e+02	2.81610e-02	1.32600e+00
1.58993e+02	2.89340e-02	1.32600e+00
1.60367e+02	2.93190e-02	1.32600e+00
2.99218e+01	3.51300e-03	1.35000e+00
3.12304e+01	3.67700e-03	1.35000e+00
4.29099e+01	5.17900e-03	1.35000e+00
1.61744e+02	2.85960e-02	1.35000e+00
1.63099e+02	2.90040e-02	1.35000e+00
1.64540e+02	2.93590e-02	1.35000e+00
1.65901e+02	2.97860e-02	1.35000e+00
1.67324e+02	3.01250e-02	1.35000e+00
1.70144e+02	3.09100e-02	1.35000e+00
1.73002e+02	3.17100e-02	1.35000e+00
1.74318e+02	3.21880e-02	1.35000e+00
4.42144e+01	5.35200e-03	1.35000e+00
1.75847e+02	3.25130e-02	1.35000e+00
1.78730e+02	3.33310e-02	1.35000e+00
1.81600e+02	3.41500e-02	1.35000e+00
1.84508e+02	3.49830e-02	1.35000e+00
1.88919e+02	3.62540e-02	1.35000e+00
4.55143e+01	5.52700e-03	1.35000e+00
1.91873e+02	3.71080e-02	1.35000e+00
1.94811e+02	3.79580e-02	1.35000e+00
1.97789e+02	3.88190e-02	1.35000e+00
2.00808e+02	3.96930e-02	1.35000e+00
2.03866e+02	4.05800e-02	1.35000e+00
4.68092e+01	5.70000e-03	1.35000e+00
2.08446e+02	4.19010e-02	1.35000e+00
2.13057e+02	4.32310e-02	1.35000e+00
2.17759e+02	4.45780e-02	1.35000e+00
4.81220e+01	5.87900e-03	1.35000e+00
2.22491e+02	4.59230e-02	1.35000e+00
2.27253e+02	4.72730e-02	1.35000e+00
2.32038e+02	4.86130e-02	1.35000e+00
4.94031e+01	6.05400e-03	1.35000e+00
2.36913e+02	4.99690e-02	1.35000e+00
2.41810e+02	5.13160e-02	1.35000e+00
2.46793e+02	5.26760e-02	1.35000e+00
2.50118e+02	5.35750e-02	1.35000e+00
5.07013e+01	6.23300e-03	1.35000e+00
2.56882e+02	5.53830e-02	1.35000e+00
2.58502e+02	5.58380e-02	1.35000e+00
2.60247e+02	5.62750e-02	1.35000e+00
2.61881e+02	5.67330e-02	1.35000e+00
2.63650e+02	5.71690e-02	1.35000e+00
2.65328e+02	5.76050e-02	1.35000e+00
2.67054e+02	5.80950e-02	1.35000e+00
2.68784e+02	5.85070e-02	1.35000e+00
5.20162e+01	6.41600e-03	1.35000e+00
2.70450e+02	5.89800e-02	1.35000e+00
2.79160e+02	6.12280e-02	1.35000e+00
2.80893e+02	6.16080e-02	1.35000e+00
2.82658e+02	6.20540e-02	1.35000e+00
2.84366e+02	6.25550e-02	1.35000e+00
2.86144e+02	6.30050e-02	1.35000e+00
5.32968e+01	6.59400e-03	1.35000e+00
2.87922e+02	6.33770e-02	1.35000e+00
2.94917e+02	6.52090e-02	1.35000e+00
2.98497e+02	6.61030e-02	1.35000e+00
3.00357e+02	6.64580e-02	1.35000e+00
3.02107e+02	6.69960e-02	1.35000e+00
3.03883e+02	6.74360e-02	1.35000e+00
5.45923e+01	6.77600e-03	1.35000e+00
3.05781e+02	6.77830e-02	1.35000e+00
3.07460e+02	6.83150e-02	1.35000e+00
3.12881e+02	6.96400e-02	1.35000e+00
3.14701e+02	7.00840e-02	1.35000e+00
3.16671e+02	7.04200e-02	1.35000e+00
3.18283e+02	7.09520e-02	1.35000e+00
3.21978e+02	7.18470e-02	1.35000e+00
3.25265e+01	3.83900e-03	1.35000e+00
5.59036e+01	6.96300e-03	1.35000e+00
5.72039e+01	7.14900e-03	1.35000e+00
5.84922e+01	7.33500e-03	1.35000e+00
5.97948e+01	7.52200e-03	1.35000e+00
6.10841e+01	7.71200e-03	1.35000e+00
6.23873e+01	7.90500e-03	1.35000e+00
6.36764e+01	8.09500e-03	1.35000e+00
6.49783e+01	8.29200e-03	1.35000e+00
6.62939e+01	8.48900e-03	1.35000e+00
6.75935e+01	8.68900e-03	1.35000e+00
3.38283e+01	4.00300e-03	1.35000e+00
6.88770e+01	8.88600e-03	1.35000e+00
7.01721e+01	9.08700e-03	1.35000e+00
7.14799e+01	9.29000e-03	1.35000e+00
7.27694e+01	9.49400e-03	1.35000e+00
7.40712e+01	9.70200e-03	1.35000e+00
7.53840e+01	9.91200e-03	1.35000e+00
7.66781e+01	1.01220e-02	1.35000e+00
7.79837e+01	1.03350e-02	1.35000e+00
7.92685e+01	1.05470e-02	1.35000e+00
8.05646e+01	1.07610e-02	1.35000e+00
3.51348e+01	4.17100e-03	1.35000e+00
8.18708e+01	1.09820e-02	1.35000e+00
8.31886e+01	1.12040e-02	1.35000e+00
8.44841e+01	1.14250e-02	1.35000e+00
8.57907e+01	1.16500e-02	1.35000e+00
8.70743e+01	1.18720e-02	1.35000e+00
8.83677e+01	1.20990e-02	1.35000e+00
8.96713e+01	1.23300e-02	1.35000e+00
