# This hyperelastic look-up table was extracted from FEM simulations by
# Lucas Wittwer (https://doi.org/10.6084/m9.figshare.20630940). The LUT
# was additionally complemented near the convex hull by fitting a third
# order polynomial to the isoelasticity lines and extrapolating the new
# isoelastics model towards the convex hull.
#
# BEGIN METADATA
# {
#   "authors": "L. D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2022-08-26",
#   "dimensionality": "3D",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_consistency_coefficient": 0.4057,
#   "fluid_consistency_coefficient_unit": "Pa s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_flow_behaviour_index": 0.6039,
#   "fluid_flow_behaviour_index_unit": "",
#   "fluid_viscosity": 6.0,
#   "fluid_viscosity_unit": "mPa s",
#   "identifier": "HE-3D-FEM-22",
#   "method": "FEM",
#   "model": "hyper-elastic solid / non-Newtonian fluid",
#   "publication": "https://arxiv.org/abs/2208.12552",
#   "software": "COMSOL 5.5",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "3D FEM simulation with a hyper-elastic elasticity model and non-Newtonian fluid"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
2.91587e+01	4.00640e-02	4.69000e-01
3.39782e+01	5.20760e-02	4.69000e-01
2.92521e+01	3.55780e-02	4.89000e-01
3.41458e+01	4.51810e-02	4.89000e-01
3.89072e+01	5.76440e-02	4.89000e-01
3.48528e+01	1.54790e-02	7.50000e-01
3.99573e+01	1.81260e-02	7.50000e-01
8.54720e+01	5.23670e-02	7.50000e-01
9.05185e+01	5.76160e-02	7.50000e-01
9.55288e+01	6.44400e-02	7.50000e-01
1.00528e+02	7.12530e-02	7.50000e-01
4.50567e+01	2.10750e-02	7.50000e-01
5.01295e+01	2.41930e-02	7.50000e-01
5.52197e+01	2.73040e-02	7.50000e-01
6.02624e+01	3.08900e-02	7.50000e-01
6.53476e+01	3.45770e-02	7.50000e-01
7.03799e+01	3.85200e-02	7.50000e-01
7.54358e+01	4.26090e-02	7.50000e-01
8.04675e+01	4.71390e-02	7.50000e-01
2.97450e+01	1.15170e-02	7.91000e-01
3.48927e+01	1.37720e-02	7.91000e-01
8.07228e+01	4.06700e-02	7.91000e-01
8.57750e+01	4.48580e-02	7.91000e-01
9.08699e+01	4.90240e-02	7.91000e-01
9.59628e+01	5.39330e-02	7.91000e-01
1.01070e+02	5.89080e-02	7.91000e-01
1.06183e+02	6.40710e-02	7.91000e-01
1.11257e+02	7.02030e-02	7.91000e-01
4.00099e+01	1.60920e-02	7.91000e-01
4.51251e+01	1.86580e-02	7.91000e-01
5.02161e+01	2.13590e-02	7.91000e-01
5.53267e+01	2.40410e-02	7.91000e-01
6.03938e+01	2.71020e-02	7.91000e-01
6.55023e+01	3.02370e-02	7.91000e-01
7.56530e+01	3.69650e-02	7.91000e-01
3.49283e+01	1.22500e-02	8.35000e-01
4.00564e+01	1.42860e-02	8.35000e-01
8.60111e+01	3.88160e-02	8.35000e-01
9.11357e+01	4.22600e-02	8.35000e-01
9.62654e+01	4.61760e-02	8.35000e-01
1.01416e+02	5.01840e-02	8.35000e-01
1.06575e+02	5.42880e-02	8.35000e-01
1.11732e+02	5.88450e-02	8.35000e-01
1.16987e+02	6.39170e-02	8.35000e-01
1.22175e+02	6.89570e-02	8.35000e-01
1.27431e+02	7.55380e-02	8.35000e-01
1.32709e+02	8.16230e-02	8.35000e-01
4.51853e+01	1.65250e-02	8.35000e-01
5.02916e+01	1.88730e-02	8.35000e-01
5.54195e+01	2.11980e-02	8.35000e-01
6.05065e+01	2.38300e-02	8.35000e-01
6.56336e+01	2.65220e-02	8.35000e-01
7.58310e+01	3.22420e-02	8.35000e-01
8.09276e+01	3.53490e-02	8.35000e-01
2.97935e+01	9.12700e-03	8.83000e-01
3.49606e+01	1.08710e-02	8.83000e-01
8.10998e+01	3.07990e-02	8.83000e-01
8.62058e+01	3.37140e-02	8.83000e-01
9.13508e+01	3.66130e-02	8.83000e-01
9.65019e+01	3.98510e-02	8.83000e-01
1.01677e+02	4.31900e-02	8.83000e-01
1.06859e+02	4.65970e-02	8.83000e-01
1.12048e+02	5.02810e-02	8.83000e-01
1.17324e+02	5.42330e-02	8.83000e-01
1.22549e+02	5.81620e-02	8.83000e-01
1.27863e+02	6.28120e-02	8.83000e-01
4.00983e+01	1.26580e-02	8.83000e-01
1.33220e+02	6.72550e-02	8.83000e-01
1.44033e+02	7.74620e-02	8.83000e-01
1.49600e+02	8.23480e-02	8.83000e-01
4.52391e+01	1.46110e-02	8.83000e-01
5.03590e+01	1.66530e-02	8.83000e-01
5.55014e+01	1.86710e-02	8.83000e-01
6.06052e+01	2.09400e-02	8.83000e-01
6.57481e+01	2.32620e-02	8.83000e-01
7.08523e+01	2.56930e-02	8.83000e-01
7.59827e+01	2.81570e-02	8.83000e-01
4.01358e+01	1.12010e-02	9.35000e-01
4.52870e+01	1.29060e-02	9.35000e-01
9.15281e+01	3.18300e-02	9.35000e-01
9.66938e+01	3.45670e-02	9.35000e-01
1.01886e+02	3.73900e-02	9.35000e-01
1.07080e+02	4.02760e-02	9.35000e-01
1.12284e+02	4.33460e-02	9.35000e-01
1.17566e+02	4.66130e-02	9.35000e-01
1.22799e+02	4.98920e-02	9.35000e-01
1.33487e+02	5.72530e-02	9.35000e-01
1.38940e+02	6.09280e-02	9.35000e-01
5.04186e+01	1.46830e-02	9.35000e-01
1.44318e+02	6.51640e-02	9.35000e-01
1.49881e+02	6.92260e-02	9.35000e-01
1.55431e+02	7.30320e-02	9.35000e-01
1.61077e+02	7.75900e-02	9.35000e-01
1.72463e+02	8.60360e-02	9.35000e-01
5.55735e+01	1.64380e-02	9.35000e-01
6.06917e+01	1.84010e-02	9.35000e-01
6.58476e+01	2.04090e-02	9.35000e-01
7.09674e+01	2.25040e-02	9.35000e-01
7.61126e+01	2.46210e-02	9.35000e-01
8.12455e+01	2.68850e-02	9.35000e-01
8.63693e+01	2.93660e-02	9.35000e-01
3.50156e+01	8.51500e-03	9.92000e-01
4.01695e+01	9.88600e-03	9.92000e-01
8.65093e+01	2.55780e-02	9.92000e-01
9.16792e+01	2.76830e-02	9.92000e-01
9.68555e+01	3.00190e-02	9.92000e-01
1.02060e+02	3.24260e-02	9.92000e-01
1.07260e+02	3.48920e-02	9.92000e-01
1.12473e+02	3.74880e-02	9.92000e-01
1.17755e+02	4.02530e-02	9.92000e-01
1.22988e+02	4.30500e-02	9.92000e-01
1.28310e+02	4.61430e-02	9.92000e-01
4.53301e+01	1.13720e-02	9.92000e-01
1.39105e+02	5.23600e-02	9.92000e-01
1.44472e+02	5.57030e-02	9.92000e-01
1.61149e+02	6.63040e-02	9.92000e-01
1.66798e+02	6.96250e-02	9.92000e-01
1.72483e+02	7.33820e-02	9.92000e-01
1.78299e+02	7.68320e-02	9.92000e-01
1.84171e+02	8.02290e-02	9.92000e-01
1.90144e+02	8.40840e-02	9.92000e-01
1.96152e+02	8.75630e-02	9.92000e-01
5.04722e+01	1.29170e-02	9.92000e-01
5.56376e+01	1.44430e-02	9.92000e-01
6.07684e+01	1.61400e-02	9.92000e-01
6.59355e+01	1.78790e-02	9.92000e-01
7.10684e+01	1.96860e-02	9.92000e-01
7.62260e+01	2.15090e-02	9.92000e-01
8.13718e+01	2.34570e-02	9.92000e-01
2.98501e+01	6.33700e-03	1.05400e+00
3.50390e+01	7.51200e-03	1.05400e+00
8.14808e+01	2.04660e-02	1.05400e+00
8.66298e+01	2.22860e-02	1.05400e+00
9.18080e+01	2.40960e-02	1.05400e+00
9.69917e+01	2.60970e-02	1.05400e+00
1.02205e+02	2.81630e-02	1.05400e+00
1.07409e+02	3.02800e-02	1.05400e+00
1.12628e+02	3.24990e-02	1.05400e+00
1.17907e+02	3.48650e-02	1.05400e+00
1.23137e+02	3.72730e-02	1.05400e+00
4.01996e+01	8.71100e-03	1.05400e+00
1.33802e+02	4.25350e-02	1.05400e+00
1.39218e+02	4.52480e-02	1.05400e+00
1.44566e+02	4.80550e-02	1.05400e+00
1.50073e+02	5.11540e-02	1.05400e+00
1.55555e+02	5.40190e-02	1.05400e+00
1.61142e+02	5.72920e-02	1.05400e+00
1.66752e+02	6.02030e-02	1.05400e+00
1.72395e+02	6.34300e-02	1.05400e+00
1.78181e+02	6.66260e-02	1.05400e+00
1.83958e+02	6.97020e-02	1.05400e+00
4.53685e+01	1.00050e-02	1.05400e+00
1.89889e+02	7.30490e-02	1.05400e+00
1.95806e+02	7.63440e-02	1.05400e+00
2.01790e+02	7.95260e-02	1.05400e+00
2.07790e+02	8.28270e-02	1.05400e+00
2.12365e+02	8.51920e-02	1.05400e+00
2.18540e+02	8.82710e-02	1.05400e+00
5.05197e+01	1.13480e-02	1.05400e+00
5.56944e+01	1.26750e-02	1.05400e+00
6.08358e+01	1.41440e-02	1.05400e+00
6.60126e+01	1.56500e-02	1.05400e+00
7.11566e+01	1.72120e-02	1.05400e+00
7.63244e+01	1.87860e-02	1.05400e+00
2.98656e+01	5.57400e-03	1.12300e+00
3.50604e+01	6.59800e-03	1.12300e+00
8.15773e+01	1.77960e-02	1.12300e+00
8.67359e+01	1.93560e-02	1.12300e+00
9.19211e+01	2.09110e-02	1.12300e+00
9.71108e+01	2.26270e-02	1.12300e+00
1.02331e+02	2.44010e-02	1.12300e+00
1.07538e+02	2.62190e-02	1.12300e+00
1.12761e+02	2.81190e-02	1.12300e+00
1.18035e+02	3.01490e-02	1.12300e+00
1.23261e+02	3.22250e-02	1.12300e+00
1.28567e+02	3.44560e-02	1.12300e+00
4.02270e+01	7.64200e-03	1.12300e+00
1.33907e+02	3.67380e-02	1.12300e+00
1.39302e+02	3.90900e-02	1.12300e+00
1.44630e+02	4.14970e-02	1.12300e+00
1.50114e+02	4.41920e-02	1.12300e+00
1.55574e+02	4.67280e-02	1.12300e+00
1.61105e+02	4.95860e-02	1.12300e+00
1.66671e+02	5.21750e-02	1.12300e+00
1.72274e+02	5.50180e-02	1.12300e+00
1.78002e+02	5.78950e-02	1.12300e+00
1.83715e+02	6.07030e-02	1.12300e+00
4.54032e+01	8.76400e-03	1.12300e+00
1.89585e+02	6.36740e-02	1.12300e+00
1.95427e+02	6.67240e-02	1.12300e+00
2.01351e+02	6.95130e-02	1.12300e+00
2.07278e+02	7.25040e-02	1.12300e+00
2.11791e+02	7.46560e-02	1.12300e+00
