# Elastic modulus look-up table for spheres
# deformed in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering Article ASAP
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# The simulations were performed by S. Aland.
# The look-up table was assembled by C. Herold.
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: FEM
#
# apparent_area_um^2 deformation elastic_modulus_kPa
3.5017387e+01 3.0340000e-03 2.6960177e+00
3.5018296e+01 3.0690000e-03 2.6731054e+00
3.5019517e+01 3.1180000e-03 2.6425556e+00
3.5020463e+01 3.1550000e-03 2.6196433e+00
3.5021731e+01 3.2060000e-03 2.5890935e+00
3.5022725e+01 3.2450000e-03 2.5661812e+00
3.5024077e+01 3.2980000e-03 2.5356314e+00
3.5025118e+01 3.3390000e-03 2.5127190e+00
3.5026531e+01 3.3950000e-03 2.4821693e+00
3.6180089e+01 3.0390000e-03 2.8029419e+00
3.5027620e+01 3.4370000e-03 2.4592569e+00
3.6181046e+01 3.0740000e-03 2.7800296e+00
3.6182315e+01 3.1220000e-03 2.7494798e+00
3.5029235e+01 3.4970000e-03 2.4287072e+00
3.6183308e+01 3.1590000e-03 2.7265675e+00
3.5030396e+01 3.5420000e-03 2.4057948e+00
3.6184649e+01 3.2090000e-03 2.6960177e+00
3.5031964e+01 3.6030000e-03 2.3752451e+00
3.6185690e+01 3.2470000e-03 2.6731054e+00
3.5033185e+01 3.6500000e-03 2.3523327e+00
3.6187090e+01 3.3000000e-03 2.6425556e+00
3.6188180e+01 3.3400000e-03 2.6196433e+00
3.5034837e+01 3.7150000e-03 2.3217829e+00
3.6189664e+01 3.3950000e-03 2.5890935e+00
3.5036129e+01 3.7640000e-03 2.2988706e+00
3.7356112e+01 3.0460000e-03 2.9098661e+00
3.6190813e+01 3.4370000e-03 2.5661812e+00
3.7357069e+01 3.0810000e-03 2.8869538e+00
3.5037865e+01 3.8320000e-03 2.2683208e+00
3.6192357e+01 3.4940000e-03 2.5356314e+00
3.7358350e+01 3.1280000e-03 2.8564040e+00
3.5039229e+01 3.8840000e-03 2.2454085e+00
3.7359343e+01 3.1640000e-03 2.8334917e+00
3.6193721e+01 3.5400000e-03 2.5127190e+00
3.7360684e+01 3.2140000e-03 2.8029419e+00
3.5041072e+01 3.9540000e-03 2.2148587e+00
3.6195361e+01 3.6000000e-03 2.4821693e+00
3.7361737e+01 3.2520000e-03 2.7800296e+00
3.5042508e+01 4.0090000e-03 2.1919464e+00
3.6196629e+01 3.6460000e-03 2.4592569e+00
3.7363137e+01 3.3030000e-03 2.7494798e+00
3.6198353e+01 3.7100000e-03 2.4287072e+00
3.7364239e+01 3.3430000e-03 2.7265675e+00
3.5044459e+01 4.0840000e-03 2.1613966e+00
3.6199693e+01 3.7580000e-03 2.4057948e+00
3.7365711e+01 3.3970000e-03 2.6960177e+00
3.5045967e+01 4.1410000e-03 2.1384843e+00
3.8552936e+01 3.0420000e-03 3.0167903e+00
3.7366860e+01 3.4380000e-03 2.6731054e+00
3.6201512e+01 3.8240000e-03 2.3752451e+00
3.8553893e+01 3.0760000e-03 2.9938780e+00
3.5048038e+01 4.2200000e-03 2.1079345e+00
3.7368415e+01 3.4950000e-03 2.6425556e+00
3.8555174e+01 3.1220000e-03 2.9633282e+00
3.6202925e+01 3.8750000e-03 2.3523327e+00
3.8556179e+01 3.1580000e-03 2.9404159e+00
3.7369624e+01 3.5380000e-03 2.6196433e+00
3.5049641e+01 4.2810000e-03 2.0850222e+00
3.6204840e+01 3.9450000e-03 2.3217829e+00
3.8557532e+01 3.2070000e-03 2.9098661e+00
3.7371420e+01 3.5990000e-03 2.5890935e+00
3.8558573e+01 3.2440000e-03 2.8869538e+00
3.5051820e+01 4.3630000e-03 2.0544724e+00
3.6206336e+01 3.9990000e-03 2.2988706e+00
3.7372700e+01 3.6440000e-03 2.5661812e+00
3.8559985e+01 3.2950000e-03 2.8564040e+00
3.5053519e+01 4.4270000e-03 2.0315601e+00
3.6208358e+01 4.0720000e-03 2.2683208e+00
3.7374424e+01 3.7060000e-03 2.5356314e+00
3.8561086e+01 3.3340000e-03 2.8334917e+00
3.7375764e+01 3.7540000e-03 2.5127190e+00
3.6209938e+01 4.1280000e-03 2.2454085e+00
3.8562559e+01 3.3870000e-03 2.8029419e+00
3.5055841e+01 4.5150000e-03 2.0010103e+00
3.9766504e+01 3.0380000e-03 3.1237146e+00
3.8563708e+01 3.4270000e-03 2.7800296e+00
3.7377571e+01 3.8190000e-03 2.4821693e+00
3.9767461e+01 3.0710000e-03 3.1008022e+00
3.6212068e+01 4.2050000e-03 2.2148587e+00
3.5057636e+01 4.5820000e-03 1.9780980e+00
3.8565263e+01 3.4830000e-03 2.7494798e+00
3.7378984e+01 3.8690000e-03 2.4592569e+00
3.9768754e+01 3.1170000e-03 3.0702525e+00
3.6213732e+01 4.2640000e-03 2.1919464e+00
3.8566472e+01 3.5250000e-03 2.7265675e+00
3.9769759e+01 3.1520000e-03 3.0473401e+00
3.5060102e+01 4.6750000e-03 1.9475482e+00
3.7380898e+01 3.9370000e-03 2.4287072e+00
3.9771112e+01 3.2000000e-03 3.0167903e+00
3.8568100e+01 3.5830000e-03 2.6960177e+00
3.6215994e+01 4.3450000e-03 2.1613966e+00
3.7382383e+01 3.9900000e-03 2.4057948e+00
3.9772153e+01 3.2370000e-03 2.9938780e+00
3.8569548e+01 3.6290000e-03 2.6731054e+00
3.5062017e+01 4.7460000e-03 1.9246359e+00
3.6217765e+01 4.4080000e-03 2.1384843e+00
3.9773565e+01 3.2860000e-03 2.9633282e+00
3.7384405e+01 4.0620000e-03 2.3752451e+00
3.8571272e+01 3.6900000e-03 2.6425556e+00
3.9774666e+01 3.3250000e-03 2.9404159e+00
3.5064626e+01 4.8440000e-03 1.8940861e+00
3.8572600e+01 3.7370000e-03 2.6196433e+00
3.7385973e+01 4.1170000e-03 2.3523327e+00
3.6220159e+01 4.4930000e-03 2.1079345e+00
3.9776138e+01 3.3760000e-03 2.9098661e+00
3.9777299e+01 3.4160000e-03 2.8869538e+00
3.8574419e+01 3.8000000e-03 2.5890935e+00
3.5066660e+01 4.9200000e-03 1.8711738e+00
3.6222026e+01 4.5590000e-03 2.0850222e+00
3.7388091e+01 4.1920000e-03 2.3217829e+00
4.1001327e+01 3.0430000e-03 3.2306388e+00
4.1002321e+01 3.0760000e-03 3.2077264e+00
3.8575820e+01 3.8490000e-03 2.5661812e+00
3.9778843e+01 3.4710000e-03 2.8564040e+00
3.7389755e+01 4.2500000e-03 2.2988706e+00
4.1003649e+01 3.1210000e-03 3.1771767e+00
3.9780052e+01 3.5120000e-03 2.8334917e+00
3.6224563e+01 4.6490000e-03 2.0544724e+00
3.5069437e+01 5.0230000e-03 1.8406240e+00
3.8577723e+01 3.9160000e-03 2.5356314e+00
4.1004679e+01 3.1560000e-03 3.1542643e+00
3.7392005e+01 4.3290000e-03 2.2683208e+00
3.9781668e+01 3.5690000e-03 2.8029419e+00
3.8579207e+01 3.9670000e-03 2.5127190e+00
3.6226538e+01 4.7190000e-03 2.0315601e+00
4.1006067e+01 3.2030000e-03 3.1237146e+00
3.5071603e+01 5.1030000e-03 1.8177117e+00
3.9782936e+01 3.6120000e-03 2.7800296e+00
4.1007144e+01 3.2390000e-03 3.1008022e+00
3.7393752e+01 4.3900000e-03 2.2454085e+00
3.8581217e+01 4.0370000e-03 2.4821693e+00
3.9784827e+01 3.6730000e-03 2.7494798e+00
4.1008604e+01 3.2880000e-03 3.0702525e+00
3.6229231e+01 4.8140000e-03 2.0010103e+00
3.8582773e+01 4.0910000e-03 2.4592569e+00
3.7396134e+01 4.4740000e-03 2.2148587e+00
3.5074572e+01 5.2130000e-03 1.7871619e+00
4.1009729e+01 3.3250000e-03 3.0473401e+00
3.9786168e+01 3.7190000e-03 2.7265675e+00
3.6231337e+01 4.8870000e-03 1.9780980e+00
4.1011249e+01 3.3760000e-03 3.0167903e+00
3.7397977e+01 4.5380000e-03 2.1919464e+00
3.9787963e+01 3.7810000e-03 2.6960177e+00
3.8584892e+01 4.1650000e-03 2.4287072e+00
3.5076869e+01 5.2980000e-03 1.7642495e+00
4.1012422e+01 3.4150000e-03 2.9938780e+00
4.2255181e+01 3.0340000e-03 3.3375630e+00
3.9789363e+01 3.8290000e-03 2.6731054e+00
3.8586531e+01 4.2210000e-03 2.4057948e+00
4.2256186e+01 3.0670000e-03 3.3146507e+00
3.6234198e+01 4.9880000e-03 1.9475482e+00
4.1014014e+01 3.4690000e-03 2.9633282e+00
3.7400503e+01 4.6260000e-03 2.1613966e+00
3.9791254e+01 3.8940000e-03 2.6425556e+00
4.2257526e+01 3.1110000e-03 3.2841009e+00
4.1015247e+01 3.5100000e-03 2.9404159e+00
3.5080029e+01 5.4140000e-03 1.7336998e+00
3.8588769e+01 4.2980000e-03 2.3752451e+00
4.2258568e+01 3.1450000e-03 3.2611886e+00
3.7402465e+01 4.6940000e-03 2.1384843e+00
3.6236436e+01 5.0660000e-03 1.9246359e+00
3.9792738e+01 3.9440000e-03 2.6196433e+00
4.1016910e+01 3.5650000e-03 2.9098661e+00
3.8590505e+01 4.3580000e-03 2.3523327e+00
4.2259968e+01 3.1910000e-03 3.2306388e+00
4.1018215e+01 3.6080000e-03 2.8869538e+00
3.5082495e+01 5.5040000e-03 1.7107874e+00
4.2261045e+01 3.2260000e-03 3.2077264e+00
3.9794725e+01 4.0120000e-03 2.5890935e+00
3.7405134e+01 4.7870000e-03 2.1079345e+00
3.6239476e+01 5.1730000e-03 1.8940861e+00
4.1019950e+01 3.6660000e-03 2.8564040e+00
3.8592862e+01 4.4390000e-03 2.3217829e+00
4.2262505e+01 3.2740000e-03 3.1771767e+00
3.9796269e+01 4.0640000e-03 2.5661812e+00
4.2263642e+01 3.3110000e-03 3.1542643e+00
3.7407217e+01 4.8580000e-03 2.0850222e+00
4.1021530e+01 3.7120000e-03 2.8334917e+00
3.8594706e+01 4.5010000e-03 2.2988706e+00
3.6241858e+01 5.2550000e-03 1.8711738e+00
3.5085858e+01 5.6280000e-03 1.6802377e+00
3.9798376e+01 4.1360000e-03 2.5356314e+00
4.2265174e+01 3.3610000e-03 3.1237146e+00
4.1023373e+01 3.7730000e-03 2.8029419e+00
4.2266359e+01 3.3990000e-03 3.1008022e+00
3.9800003e+01 4.1910000e-03 2.5127190e+00
3.7410053e+01 4.9570000e-03 2.0544724e+00
3.8597195e+01 4.5870000e-03 2.2683208e+00
4.3527322e+01 3.0230000e-03 3.4444872e+00
4.1024809e+01 3.8200000e-03 2.7800296e+00
3.5088491e+01 5.7240000e-03 1.6573253e+00
3.6245101e+01 5.3680000e-03 1.8406240e+00
4.2267951e+01 3.4520000e-03 3.0702525e+00
4.3528339e+01 3.0550000e-03 3.4215749e+00
3.9802217e+01 4.2660000e-03 2.4821693e+00
3.8599146e+01 4.6530000e-03 2.2454085e+00
3.7412256e+01 5.0320000e-03 2.0315601e+00
4.1026736e+01 3.8830000e-03 2.7494798e+00
4.2269196e+01 3.4920000e-03 3.0473401e+00
4.3529691e+01 3.0980000e-03 3.3910251e+00
4.3530756e+01 3.1320000e-03 3.3681128e+00
4.1028244e+01 3.9320000e-03 2.7265675e+00
