# These isoelasticity lines were interpolated from the corresponding
# look-up table introduced in dclab 0.24.0. The original FEM results
# were complemented with analytical data both of which are available
# on figshare (https://doi.org/10.6084/m9.figshare.12155064.v4). The
# model computations take into account the equivalent channel radius
# for a square channel cross-section with the factor 1.094 (see also
# supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006). As of
# dclab 0.46.0, an improved version of the look-up-table is used.
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
3.67731e+01	6.15968e-02	9.10000e-01
3.71382e+01	6.23774e-02	9.10000e-01
3.74858e+01	6.31579e-02	9.10000e-01
3.78286e+01	6.39385e-02	9.10000e-01
3.81751e+01	6.47190e-02	9.10000e-01
3.85174e+01	6.54995e-02	9.10000e-01
3.88861e+01	6.62801e-02	9.10000e-01
3.92587e+01	6.70606e-02	9.10000e-01
3.96269e+01	6.78412e-02	9.10000e-01
3.99517e+01	6.86217e-02	9.10000e-01
4.02417e+01	6.94023e-02	9.10000e-01
4.05533e+01	7.01828e-02	9.10000e-01
4.08954e+01	7.09634e-02	9.10000e-01
4.12277e+01	7.17439e-02	9.10000e-01
4.15636e+01	7.25245e-02	9.10000e-01
4.18955e+01	7.33050e-02	9.10000e-01
4.21445e+01	7.40856e-02	9.10000e-01
4.24043e+01	7.48661e-02	9.10000e-01
4.26804e+01	7.56467e-02	9.10000e-01
4.29917e+01	7.64272e-02	9.10000e-01
4.33110e+01	7.72078e-02	9.10000e-01
4.36213e+01	7.79883e-02	9.10000e-01
4.39098e+01	7.87689e-02	9.10000e-01
4.41973e+01	7.95494e-02	9.10000e-01
4.44989e+01	8.03300e-02	9.10000e-01
4.47959e+01	8.11105e-02	9.10000e-01
4.50920e+01	8.18911e-02	9.10000e-01
4.53890e+01	8.26716e-02	9.10000e-01
4.56345e+01	8.34522e-02	9.10000e-01
4.58989e+01	8.42327e-02	9.10000e-01
4.61852e+01	8.50133e-02	9.10000e-01
4.64700e+01	8.57938e-02	9.10000e-01
4.67530e+01	8.65744e-02	9.10000e-01
4.70231e+01	8.73549e-02	9.10000e-01
4.72694e+01	8.81355e-02	9.10000e-01
4.75043e+01	8.89160e-02	9.10000e-01
4.77454e+01	8.96966e-02	9.10000e-01
4.80279e+01	9.04771e-02	9.10000e-01
4.82884e+01	9.12577e-02	9.10000e-01
4.85218e+01	9.20382e-02	9.10000e-01
4.87524e+01	9.28188e-02	9.10000e-01
4.89810e+01	9.35993e-02	9.10000e-01
4.92095e+01	9.43799e-02	9.10000e-01
