# These isoelasticity lines were interpolated from a volume-deformation
# look-up table which was extracted from FEM data and complemented with
# analytical data (https://doi.org/10.6084/m9.figshare.12155064.v4 with
# scripts/fem2iso_volume.py). An equivalent channel radius for a square
# channel (factor of 1.094) is used in the 2D axis-symmetric model (see
# also supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006). The
# improved look-up table (with polynomial extrapolation of isoelastics)
# as introduced in dclab 0.46.0 was used here.
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# volume [um^3]	deform	emodulus [kPa]
1.65056e+02	4.53159e-02	1.05000e+00
1.68555e+02	4.60719e-02	1.05000e+00
1.71832e+02	4.68278e-02	1.05000e+00
1.74690e+02	4.75838e-02	1.05000e+00
1.78268e+02	4.83398e-02	1.05000e+00
1.81599e+02	4.90957e-02	1.05000e+00
1.84990e+02	4.98517e-02	1.05000e+00
1.87860e+02	5.06077e-02	1.05000e+00
1.91044e+02	5.13636e-02	1.05000e+00
1.94248e+02	5.21196e-02	1.05000e+00
1.97587e+02	5.28756e-02	1.05000e+00
2.00944e+02	5.36315e-02	1.05000e+00
2.03818e+02	5.43875e-02	1.05000e+00
2.06693e+02	5.51434e-02	1.05000e+00
2.09880e+02	5.58994e-02	1.05000e+00
2.13008e+02	5.66554e-02	1.05000e+00
2.16026e+02	5.74113e-02	1.05000e+00
2.19129e+02	5.81673e-02	1.05000e+00
2.22310e+02	5.89233e-02	1.05000e+00
2.25539e+02	5.96792e-02	1.05000e+00
2.28559e+02	6.04352e-02	1.05000e+00
2.31422e+02	6.11912e-02	1.05000e+00
2.34298e+02	6.19471e-02	1.05000e+00
2.37470e+02	6.27031e-02	1.05000e+00
2.40434e+02	6.34591e-02	1.05000e+00
2.43320e+02	6.42150e-02	1.05000e+00
2.46189e+02	6.49710e-02	1.05000e+00
2.48934e+02	6.57270e-02	1.05000e+00
2.51671e+02	6.64829e-02	1.05000e+00
2.54305e+02	6.72389e-02	1.05000e+00
2.56968e+02	6.79948e-02	1.05000e+00
2.59822e+02	6.87508e-02	1.05000e+00
2.62676e+02	6.95068e-02	1.05000e+00
2.65422e+02	7.02627e-02	1.05000e+00
2.67701e+02	7.10187e-02	1.05000e+00
2.70055e+02	7.17747e-02	1.05000e+00
2.72571e+02	7.25306e-02	1.05000e+00
2.75296e+02	7.32866e-02	1.05000e+00
2.77996e+02	7.40426e-02	1.05000e+00
2.80597e+02	7.47985e-02	1.05000e+00
2.83194e+02	7.55545e-02	1.05000e+00
2.85617e+02	7.63105e-02	1.05000e+00
2.88051e+02	7.70664e-02	1.05000e+00
2.90486e+02	7.78224e-02	1.05000e+00
2.92895e+02	7.85783e-02	1.05000e+00
2.95301e+02	7.93343e-02	1.05000e+00
2.97590e+02	8.00903e-02	1.05000e+00
2.99906e+02	8.08462e-02	1.05000e+00
3.02519e+02	8.16022e-02	1.05000e+00
3.04956e+02	8.23582e-02	1.05000e+00
3.06963e+02	8.31141e-02	1.05000e+00
3.09082e+02	8.38701e-02	1.05000e+00
3.11167e+02	8.46261e-02	1.05000e+00
3.13395e+02	8.53820e-02	1.05000e+00
3.16114e+02	8.61380e-02	1.05000e+00
3.18085e+02	8.68940e-02	1.05000e+00
3.20066e+02	8.76499e-02	1.05000e+00
3.22185e+02	8.84059e-02	1.05000e+00
3.23829e+02	8.91619e-02	1.05000e+00
3.25813e+02	8.99178e-02	1.05000e+00
3.28051e+02	9.06738e-02	1.05000e+00
3.30022e+02	9.14297e-02	1.05000e+00
3.32126e+02	9.21857e-02	1.05000e+00
3.34265e+02	9.29417e-02	1.05000e+00
3.35843e+02	9.36976e-02	1.05000e+00
3.37422e+02	9.44536e-02	1.05000e+00
3.39349e+02	9.52096e-02	1.05000e+00
3.41295e+02	9.59655e-02	1.05000e+00
3.43167e+02	9.67215e-02	1.05000e+00
3.45176e+02	9.74775e-02	1.05000e+00
3.47215e+02	9.82334e-02	1.05000e+00
3.48649e+02	9.89894e-02	1.05000e+00
3.50089e+02	9.97454e-02	1.05000e+00
3.51955e+02	1.00501e-01	1.05000e+00
3.53942e+02	1.01257e-01	1.05000e+00
3.55249e+02	1.02013e-01	1.05000e+00
3.56637e+02	1.02769e-01	1.05000e+00
3.58178e+02	1.03525e-01	1.05000e+00
3.59754e+02	1.04281e-01	1.05000e+00
3.61268e+02	1.05037e-01	1.05000e+00
3.62628e+02	1.05793e-01	1.05000e+00
3.64194e+02	1.06549e-01	1.05000e+00
3.65880e+02	1.07305e-01	1.05000e+00
3.67511e+02	1.08061e-01	1.05000e+00
3.68709e+02	1.08817e-01	1.05000e+00
3.69932e+02	1.09573e-01	1.05000e+00
3.71229e+02	1.10329e-01	1.05000e+00
3.72512e+02	1.11085e-01	1.05000e+00
3.73848e+02	1.11841e-01	1.05000e+00
3.75352e+02	1.12597e-01	1.05000e+00
3.76724e+02	1.13353e-01	1.05000e+00
3.78276e+02	1.14109e-01	1.05000e+00
3.80160e+02	1.14865e-01	1.05000e+00
3.82157e+02	1.15621e-01	1.05000e+00
3.84154e+02	1.16377e-01	1.05000e+00
3.86145e+02	1.17133e-01	1.05000e+00
3.88028e+02	1.17889e-01	1.05000e+00
3.89853e+02	1.18644e-01	1.05000e+00
3.91677e+02	1.19400e-01	1.05000e+00
3.93502e+02	1.20156e-01	1.05000e+00
3.94808e+02	1.20912e-01	1.05000e+00
3.96130e+02	1.21668e-01	1.05000e+00
3.97689e+02	1.22424e-01	1.05000e+00
3.98918e+02	1.23180e-01	1.05000e+00
4.00195e+02	1.23936e-01	1.05000e+00
4.01723e+02	1.24692e-01	1.05000e+00
4.02955e+02	1.25448e-01	1.05000e+00
4.04160e+02	1.26204e-01	1.05000e+00
4.05657e+02	1.26960e-01	1.05000e+00
4.06921e+02	1.27716e-01	1.05000e+00
4.08029e+02	1.28472e-01	1.05000e+00
4.09497e+02	1.29228e-01	1.05000e+00
4.10822e+02	1.29984e-01	1.05000e+00
4.11876e+02	1.30740e-01	1.05000e+00
4.13247e+02	1.31496e-01	1.05000e+00
4.14684e+02	1.32252e-01	1.05000e+00
4.16095e+02	1.33008e-01	1.05000e+00
4.17498e+02	1.33764e-01	1.05000e+00
1.70582e+02	2.79287e-02	1.32000e+00
1.76290e+02	2.86847e-02	1.32000e+00
1.82640e+02	2.94407e-02	1.32000e+00
1.88447e+02	3.01966e-02	1.32000e+00
1.94474e+02	3.09526e-02	1.32000e+00
2.00201e+02	3.17085e-02	1.32000e+00
2.06223e+02	3.24645e-02	1.32000e+00
2.12132e+02	3.32205e-02	1.32000e+00
2.18117e+02	3.39764e-02	1.32000e+00
2.24484e+02	3.47324e-02	1.32000e+00
2.30364e+02	3.54884e-02	1.32000e+00
2.36236e+02	3.62443e-02	1.32000e+00
2.42491e+02	3.70003e-02	1.32000e+00
2.48672e+02	3.77563e-02	1.32000e+00
2.54105e+02	3.85122e-02	1.32000e+00
2.59845e+02	3.92682e-02	1.32000e+00
2.65813e+02	4.00242e-02	1.32000e+00
2.71170e+02	4.07801e-02	1.32000e+00
2.76868e+02	4.15361e-02	1.32000e+00
2.82541e+02	4.22921e-02	1.32000e+00
2.88377e+02	4.30480e-02	1.32000e+00
2.93912e+02	4.38040e-02	1.32000e+00
2.99460e+02	4.45599e-02	1.32000e+00
3.05016e+02	4.53159e-02	1.32000e+00
3.10580e+02	4.60719e-02	1.32000e+00
3.16135e+02	4.68278e-02	1.32000e+00
3.21620e+02	4.75838e-02	1.32000e+00
3.27236e+02	4.83398e-02	1.32000e+00
3.32538e+02	4.90957e-02	1.32000e+00
3.37983e+02	4.98517e-02	1.32000e+00
3.43357e+02	5.06077e-02	1.32000e+00
3.48881e+02	5.13636e-02	1.32000e+00
3.54272e+02	5.21196e-02	1.32000e+00
3.59226e+02	5.28756e-02	1.32000e+00
3.64102e+02	5.36315e-02	1.32000e+00
3.69203e+02	5.43875e-02	1.32000e+00
3.74396e+02	5.51434e-02	1.32000e+00
3.79483e+02	5.58994e-02	1.32000e+00
3.84057e+02	5.66554e-02	1.32000e+00
3.89042e+02	5.74113e-02	1.32000e+00
3.94234e+02	5.81673e-02	1.32000e+00
3.98953e+02	5.89233e-02	1.32000e+00
4.03704e+02	5.96792e-02	1.32000e+00
4.08544e+02	6.04352e-02	1.32000e+00
4.13497e+02	6.11912e-02	1.32000e+00
4.18348e+02	6.19471e-02	1.32000e+00
4.22992e+02	6.27031e-02	1.32000e+00
4.27438e+02	6.34591e-02	1.32000e+00
4.32143e+02	6.42150e-02	1.32000e+00
4.37036e+02	6.49710e-02	1.32000e+00
4.41579e+02	6.57270e-02	1.32000e+00
4.46035e+02	6.64829e-02	1.32000e+00
4.50233e+02	6.72389e-02	1.32000e+00
4.54474e+02	6.79948e-02	1.32000e+00
4.58788e+02	6.87508e-02	1.32000e+00
4.63129e+02	6.95068e-02	1.32000e+00
4.67519e+02	7.02627e-02	1.32000e+00
4.71575e+02	7.10187e-02	1.32000e+00
4.75597e+02	7.17747e-02	1.32000e+00
4.79830e+02	7.25306e-02	1.32000e+00
4.84107e+02	7.32866e-02	1.32000e+00
4.87937e+02	7.40426e-02	1.32000e+00
4.91716e+02	7.47985e-02	1.32000e+00
4.95518e+02	7.55545e-02	1.32000e+00
4.99422e+02	7.63105e-02	1.32000e+00
