# These isoelasticity lines were interpolated from the corresponding
# look-up table introduced in dclab 0.24.0. The original FEM results
# were complemented with analytical data both of which are available
# on figshare (https://doi.org/10.6084/m9.figshare.12155064.v4). The
# model computations take into account the equivalent channel radius
# for a square channel cross-section with the factor 1.094 (see also
# supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006). As of
# dclab 0.46.0, an improved version of the look-up-table is used.
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
3.61551e+01	6.19143e-02	9.00000e-01
3.67209e+01	6.31579e-02	9.00000e-01
3.70664e+01	6.39385e-02	9.00000e-01
3.74072e+01	6.47190e-02	9.00000e-01
3.77433e+01	6.54995e-02	9.00000e-01
3.80998e+01	6.62801e-02	9.00000e-01
3.84740e+01	6.70606e-02	9.00000e-01
3.88182e+01	6.78412e-02	9.00000e-01
3.91407e+01	6.86217e-02	9.00000e-01
3.94289e+01	6.94023e-02	9.00000e-01
3.97343e+01	7.01828e-02	9.00000e-01
4.00779e+01	7.09634e-02	9.00000e-01
4.04016e+01	7.17439e-02	9.00000e-01
4.07210e+01	7.25245e-02	9.00000e-01
4.10505e+01	7.33050e-02	9.00000e-01
4.13143e+01	7.40856e-02	9.00000e-01
4.15791e+01	7.48661e-02	9.00000e-01
4.18666e+01	7.56467e-02	9.00000e-01
4.21779e+01	7.64272e-02	9.00000e-01
4.24892e+01	7.72078e-02	9.00000e-01
4.27898e+01	7.79883e-02	9.00000e-01
4.30610e+01	7.87689e-02	9.00000e-01
4.33381e+01	7.95494e-02	9.00000e-01
4.36332e+01	8.03300e-02	9.00000e-01
4.39316e+01	8.11105e-02	9.00000e-01
4.42291e+01	8.18911e-02	9.00000e-01
4.45122e+01	8.26716e-02	9.00000e-01
4.47643e+01	8.34522e-02	9.00000e-01
4.49729e+01	8.42327e-02	9.00000e-01
4.52228e+01	8.50133e-02	9.00000e-01
4.55077e+01	8.57938e-02	9.00000e-01
