# These isoelasticity lines were interpolated from a volume-deformation
# look-up table which was extracted from FEM data and complemented with
# analytical data (https://doi.org/10.6084/m9.figshare.12155064.v4 with
# scripts/fem2iso_volume.py). An equivalent channel radius for a square
# channel (factor of 1.094) is used in the 2D axis-symmetric model (see
# also supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006). The
# improved look-up table (with polynomial extrapolation of isoelastics)
# as introduced in dclab 0.46.0 was used here.
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# volume [um^3]	deform	emodulus [kPa]
1.60502e+02	4.38040e-02	1.06000e+00
1.65979e+02	4.45599e-02	1.06000e+00
1.69596e+02	4.53159e-02	1.06000e+00
1.73165e+02	4.60719e-02	1.06000e+00
1.76393e+02	4.68278e-02	1.06000e+00
1.79465e+02	4.75838e-02	1.06000e+00
1.83215e+02	4.83398e-02	1.06000e+00
1.86455e+02	4.90957e-02	1.06000e+00
1.89838e+02	4.98517e-02	1.06000e+00
1.92719e+02	5.06077e-02	1.06000e+00
1.95930e+02	5.13636e-02	1.06000e+00
1.99117e+02	5.21196e-02	1.06000e+00
2.02463e+02	5.28672e-02	1.06000e+00
2.06082e+02	5.36315e-02	1.06000e+00
2.09096e+02	5.43875e-02	1.06000e+00
2.12171e+02	5.51434e-02	1.06000e+00
2.15404e+02	5.58994e-02	1.06000e+00
2.18628e+02	5.66554e-02	1.06000e+00
2.21784e+02	5.74113e-02	1.06000e+00
2.24959e+02	5.81673e-02	1.06000e+00
2.28210e+02	5.89233e-02	1.06000e+00
2.31470e+02	5.96792e-02	1.06000e+00
2.34489e+02	6.04352e-02	1.06000e+00
2.37379e+02	6.11912e-02	1.06000e+00
2.40263e+02	6.19471e-02	1.06000e+00
2.43564e+02	6.27031e-02	1.06000e+00
2.46592e+02	6.34591e-02	1.06000e+00
2.49478e+02	6.42150e-02	1.06000e+00
2.52314e+02	6.49710e-02	1.06000e+00
2.55054e+02	6.57270e-02	1.06000e+00
2.57801e+02	6.64829e-02	1.06000e+00
2.60561e+02	6.72389e-02	1.06000e+00
2.63302e+02	6.79948e-02	1.06000e+00
2.66097e+02	6.87508e-02	1.06000e+00
2.68951e+02	6.95068e-02	1.06000e+00
2.71751e+02	7.02627e-02	1.06000e+00
2.74233e+02	7.10187e-02	1.06000e+00
2.76809e+02	7.17747e-02	1.06000e+00
2.79448e+02	7.25306e-02	1.06000e+00
2.82183e+02	7.32866e-02	1.06000e+00
2.84856e+02	7.40426e-02	1.06000e+00
2.87495e+02	7.47985e-02	1.06000e+00
2.90088e+02	7.55545e-02	1.06000e+00
2.92575e+02	7.63105e-02	1.06000e+00
2.95051e+02	7.70664e-02	1.06000e+00
2.97484e+02	7.78224e-02	1.06000e+00
2.99964e+02	7.85783e-02	1.06000e+00
3.02402e+02	7.93343e-02	1.06000e+00
3.04697e+02	8.00903e-02	1.06000e+00
3.07129e+02	8.08462e-02	1.06000e+00
3.09875e+02	8.16022e-02	1.06000e+00
3.12514e+02	8.23582e-02	1.06000e+00
