# These analytical isoelasticity lines were created using the original
# Matlab scripts by Alexander Mietke. The model computations take into
# account the equivalent channel radius for a square channel using the
# factor 1.094 (see supplement S3).
# 
# BEGIN METADATA
# {
#   "authors": "A. Mietke, C. Herold, J. Guck",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2018-01-30",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-ana-18",
#   "method": "analytical",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1016/j.bpj.2015.09.006",
#   "software": "custom Matlab code",
#   "summary": "2D-axis-symmetric analytical solution for a linear elastic sphere"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
3.75331e+00	5.14496e-03	9.30000e-01
4.90368e+00	6.72683e-03	9.30000e-01
6.05279e+00	8.30946e-03	9.30000e-01
7.20064e+00	9.89298e-03	9.30000e-01
8.34722e+00	1.14775e-02	9.30000e-01
9.49253e+00	1.30632e-02	9.30000e-01
1.06366e+01	1.46502e-02	9.30000e-01
1.17793e+01	1.62386e-02	9.30000e-01
1.29208e+01	1.78287e-02	9.30000e-01
1.40610e+01	1.94206e-02	9.30000e-01
1.51998e+01	2.10145e-02	9.30000e-01
1.63374e+01	2.26105e-02	9.30000e-01
1.74736e+01	2.42089e-02	9.30000e-01
1.86085e+01	2.58098e-02	9.30000e-01
1.97420e+01	2.74134e-02	9.30000e-01
2.08742e+01	2.90200e-02	9.30000e-01
3.75569e+00	3.30649e-03	1.16000e+00
4.90775e+00	4.32295e-03	1.16000e+00
6.05900e+00	5.33987e-03	1.16000e+00
7.20944e+00	6.35734e-03	1.16000e+00
8.35907e+00	7.37547e-03	1.16000e+00
9.50787e+00	8.39438e-03	1.16000e+00
1.06559e+01	9.41416e-03	1.16000e+00
1.18030e+01	1.04350e-02	1.16000e+00
1.29494e+01	1.14569e-02	1.16000e+00
1.40949e+01	1.24801e-02	1.16000e+00
1.52395e+01	1.35047e-02	1.16000e+00
1.63834e+01	1.45309e-02	1.16000e+00
1.75263e+01	1.55588e-02	1.16000e+00
1.86684e+01	1.65885e-02	1.16000e+00
1.98097e+01	1.76201e-02	1.16000e+00
2.09501e+01	1.86540e-02	1.16000e+00
2.20895e+01	1.96901e-02	1.16000e+00
2.32281e+01	2.07287e-02	1.16000e+00
2.43658e+01	2.17698e-02	1.16000e+00
2.55026e+01	2.28138e-02	1.16000e+00
2.66384e+01	2.38606e-02	1.16000e+00
2.77733e+01	2.49106e-02	1.16000e+00
2.89073e+01	2.59638e-02	1.16000e+00
3.00402e+01	2.70204e-02	1.16000e+00
3.11722e+01	2.80806e-02	1.16000e+00
3.23032e+01	2.91445e-02	1.16000e+00
3.75703e+00	2.26981e-03	1.40000e+00
4.91004e+00	2.96751e-03	1.40000e+00
6.06250e+00	3.66549e-03	1.40000e+00
7.21440e+00	4.36384e-03	1.40000e+00
8.36574e+00	5.06262e-03	1.40000e+00
9.51653e+00	5.76193e-03	1.40000e+00
1.06667e+01	6.46184e-03	1.40000e+00
1.18164e+01	7.16245e-03	1.40000e+00
1.29655e+01	7.86385e-03	1.40000e+00
1.41140e+01	8.56613e-03	1.40000e+00
1.52619e+01	9.26940e-03	1.40000e+00
1.64093e+01	9.97376e-03	1.40000e+00
1.75561e+01	1.06793e-02	1.40000e+00
1.87022e+01	1.13862e-02	1.40000e+00
1.98478e+01	1.20944e-02	1.40000e+00
2.09928e+01	1.28042e-02	1.40000e+00
2.21372e+01	1.35156e-02	1.40000e+00
2.32810e+01	1.42288e-02	1.40000e+00
2.44241e+01	1.49438e-02	1.40000e+00
2.55666e+01	1.56608e-02	1.40000e+00
2.67085e+01	1.63799e-02	1.40000e+00
2.78497e+01	1.71012e-02	1.40000e+00
2.89903e+01	1.78249e-02	1.40000e+00
3.01302e+01	1.85509e-02	1.40000e+00
3.12694e+01	1.92796e-02	1.40000e+00
3.24080e+01	2.00110e-02	1.40000e+00
3.35458e+01	2.07451e-02	1.40000e+00
3.46830e+01	2.14822e-02	1.40000e+00
3.58194e+01	2.22224e-02	1.40000e+00
3.69550e+01	2.29658e-02	1.40000e+00
3.80900e+01	2.37124e-02	1.40000e+00
3.92241e+01	2.44626e-02	1.40000e+00
4.03575e+01	2.52162e-02	1.40000e+00
4.14901e+01	2.59736e-02	1.40000e+00
4.26219e+01	2.67348e-02	1.40000e+00
