# Isoelastics for elastic spheres deformed
# in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Extracting Cell Stiffness from Real-Time Deformability
#   Cytometry: Theory and Experiment
#   A. Mietke, O. Otto, S. Girardo, P. Rosendahl,
#   A. Taubenberger, S. Golfier, E. Ulbricht,
#   S. Aland, J. Guck, E. Fischer-Friedrich
#   Biophysical Journal 109(10) 2015
#   DOI: 10.1016/j.bpj.2015.09.006
#
# These data were generated using a Matlab script
# written by Alexander Mietke.
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: analytical
# - method details: squared channel, convex hull
#
# apparent_area_um^2 deformation elastic_modulus_kPa
3.7598491e+00 9.3486372e-05 6.90
4.9148638e+00 1.2219531e-04 6.90
6.0698556e+00 1.5091309e-04 6.90
7.2248244e+00 1.7964279e-04 6.90
8.3797702e+00 2.0838777e-04 6.90
9.5346930e+00 2.3715159e-04 6.90
1.0689593e+01 2.6593802e-04 6.90
1.1844469e+01 2.9475099e-04 6.90
1.2999322e+01 3.2359459e-04 6.90
1.4154151e+01 3.5247304e-04 6.90
1.5308957e+01 3.8139069e-04 6.90
1.6463738e+01 4.1035200e-04 6.90
1.7618496e+01 4.3936154e-04 6.90
1.8773230e+01 4.6842396e-04 6.90
1.9927939e+01 4.9754400e-04 6.90
2.1082623e+01 5.2672648e-04 6.90
2.2237282e+01 5.5597631e-04 6.90
2.3391916e+01 5.8529845e-04 6.90
2.4546524e+01 6.1469792e-04 6.90
2.5701107e+01 6.4417983e-04 6.90
2.6855663e+01 6.7374930e-04 6.90
2.8010192e+01 7.0341156e-04 6.90
2.9164695e+01 7.3317184e-04 6.90
3.0319170e+01 7.6303545e-04 6.90
3.1473617e+01 7.9300774e-04 6.90
3.2628036e+01 8.2309410e-04 6.90
3.3782426e+01 8.5329997e-04 6.90
3.4936787e+01 8.8363085e-04 6.90
3.6091118e+01 9.1409224e-04 6.90
3.7245419e+01 9.4468973e-04 6.90
3.8399689e+01 9.7542893e-04 6.90
3.9553927e+01 1.0063155e-03 6.90
4.0708133e+01 1.0373551e-03 6.90
4.1862307e+01 1.0685535e-03 6.90
4.3016448e+01 1.0999165e-03 6.90
4.4170554e+01 1.1314500e-03 6.90
4.5324626e+01 1.1631597e-03 6.90
4.6478663e+01 1.1950516e-03 6.90
4.7632663e+01 1.2271317e-03 6.90
4.8786627e+01 1.2594060e-03 6.90
4.9940552e+01 1.2918805e-03 6.90
5.1094440e+01 1.3245615e-03 6.90
5.2248288e+01 1.3574549e-03 6.90
5.3402096e+01 1.3905672e-03 6.90
5.4555864e+01 1.4239045e-03 6.90
5.5709589e+01 1.4574732e-03 6.90
5.6863272e+01 1.4912797e-03 6.90
5.8016911e+01 1.5253304e-03 6.90
5.9170505e+01 1.5596319e-03 6.90
6.0324053e+01 1.5941908e-03 6.90
6.1477555e+01 1.6290137e-03 6.90
6.2631009e+01 1.6641075e-03 6.90
6.3784414e+01 1.6994787e-03 6.90
6.4937770e+01 1.7351345e-03 6.90
6.6091074e+01 1.7710817e-03 6.90
6.7244326e+01 1.8073274e-03 6.90
6.8397524e+01 1.8438787e-03 6.90
6.9550668e+01 1.8807429e-03 6.90
7.0703756e+01 1.9179272e-03 6.90
7.1856787e+01 1.9554391e-03 6.90
7.3009760e+01 1.9932862e-03 6.90
7.4162672e+01 2.0314759e-03 6.90
7.5315524e+01 2.0700161e-03 6.90
7.6468313e+01 2.1089145e-03 6.90
7.7621038e+01 2.1481791e-03 6.90
7.8773697e+01 2.1878181e-03 6.90
7.9926290e+01 2.2278394e-03 6.90
8.1078814e+01 2.2682516e-03 6.90
8.2231268e+01 2.3090629e-03 6.90
8.3383650e+01 2.3502820e-03 6.90
8.4535959e+01 2.3919176e-03 6.90
8.5688193e+01 2.4339785e-03 6.90
8.6840350e+01 2.4764738e-03 6.90
8.7992429e+01 2.5194126e-03 6.90
8.9144428e+01 2.5628042e-03 6.90
9.0296344e+01 2.6066580e-03 6.90
9.1448176e+01 2.6509838e-03 6.90
9.2599923e+01 2.6957914e-03 6.90
9.3751581e+01 2.7410907e-03 6.90
9.4903150e+01 2.7868919e-03 6.90
9.6054626e+01 2.8332054e-03 6.90
9.7206009e+01 2.8800418e-03 6.90
9.8357295e+01 2.9274119e-03 6.90
9.9508483e+01 2.9753265e-03 6.90
1.0065957e+02 3.0237970e-03 6.90
1.0181055e+02 3.0728347e-03 6.90
1.0296143e+02 3.1224513e-03 6.90
1.0411220e+02 3.1726587e-03 6.90
1.0526286e+02 3.2234690e-03 6.90
1.0641341e+02 3.2748946e-03 6.90
1.0756384e+02 3.3269481e-03 6.90
1.0871415e+02 3.3796425e-03 6.90
1.0986435e+02 3.4329909e-03 6.90
1.1101442e+02 3.4870068e-03 6.90
1.1216436e+02 3.5417040e-03 6.90
1.1331417e+02 3.5970965e-03 6.90
1.1446385e+02 3.6531987e-03 6.90
1.1561339e+02 3.7100254e-03 6.90
1.1676280e+02 3.7675915e-03 6.90
1.1791206e+02 3.8259124e-03 6.90
1.1906118e+02 3.8850039e-03 6.90
1.2021015e+02 3.9448820e-03 6.90
1.2135897e+02 4.0055632e-03 6.90
1.2250763e+02 4.0670644e-03 6.90
1.2365613e+02 4.1294028e-03 6.90
1.2480447e+02 4.1925961e-03 6.90
1.2595265e+02 4.2566624e-03 6.90
1.2710065e+02 4.3216202e-03 6.90
1.2824847e+02 4.3874884e-03 6.90
1.2939612e+02 4.4542865e-03 6.90
1.3054359e+02 4.5220345e-03 6.90
1.3169086e+02 4.5907527e-03 6.90
1.3283795e+02 4.6604621e-03 6.90
1.3398483e+02 4.7311841e-03 6.90
1.3513152e+02 4.8029408e-03 6.90
1.3627800e+02 4.8757546e-03 6.90
1.3742427e+02 4.9496488e-03 6.90
1.3857032e+02 5.0246471e-03 6.90
1.3971615e+02 5.1007737e-03 6.90
1.4086176e+02 5.1780538e-03 6.90
1.4200713e+02 5.2565130e-03 6.90
1.4315227e+02 5.3361776e-03 6.90
1.4429716e+02 5.4170747e-03 6.90
1.4544180e+02 5.4992320e-03 6.90
1.4658618e+02 5.5826780e-03 6.90
