# These isoelasticity lines were interpolated from the corresponding
# look-up table introduced in dclab 0.24.0. The original FEM results
# were complemented with analytical data both of which are available
# on figshare (https://doi.org/10.6084/m9.figshare.12155064.v3). The
# model computations take into account the equivalent channel radius
# for a square channel cross-section with the factor 1.094 (see also
# supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006).
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
3.61681e+01	5.72553e-02	9.30000e-01
3.69462e+01	5.88171e-02	9.30000e-01
3.74501e+01	5.98156e-02	9.30000e-01
3.83969e+01	6.17073e-02	9.30000e-01
3.88220e+01	6.26707e-02	9.30000e-01
3.97164e+01	6.45975e-02	9.30000e-01
4.01426e+01	6.55609e-02	9.30000e-01
4.10414e+01	6.74877e-02	9.30000e-01
4.14988e+01	6.84511e-02	9.30000e-01
4.22979e+01	7.03779e-02	9.30000e-01
4.27263e+01	7.13413e-02	9.30000e-01
4.35828e+01	7.32680e-02	9.30000e-01
4.38943e+01	7.42314e-02	9.30000e-01
4.46694e+01	7.61582e-02	9.30000e-01
4.51416e+01	7.73425e-02	9.30000e-01
4.58209e+01	7.90484e-02	9.30000e-01
4.64235e+01	8.05983e-02	9.30000e-01
4.69358e+01	8.19386e-02	9.30000e-01
4.76564e+01	8.38654e-02	9.30000e-01
4.80080e+01	8.48288e-02	9.30000e-01
4.87231e+01	8.67556e-02	9.30000e-01
4.90454e+01	8.77190e-02	9.30000e-01
4.96629e+01	8.96458e-02	9.30000e-01
5.02693e+01	9.13802e-02	9.30000e-01
5.06229e+01	9.25359e-02	9.30000e-01
5.11926e+01	9.44627e-02	9.30000e-01
5.15512e+01	9.57047e-02	9.30000e-01
5.20335e+01	9.73529e-02	9.30000e-01
5.26348e+01	9.92797e-02	9.30000e-01
5.29355e+01	1.00243e-01	9.30000e-01
5.34771e+01	1.02170e-01	9.30000e-01
5.40021e+01	1.04097e-01	9.30000e-01
5.42646e+01	1.05060e-01	9.30000e-01
5.47189e+01	1.06987e-01	9.30000e-01
5.51412e+01	1.08914e-01	9.30000e-01
5.53970e+01	1.10078e-01	9.30000e-01
5.58053e+01	1.11804e-01	9.30000e-01
5.62421e+01	1.13731e-01	9.30000e-01
5.66214e+01	1.15657e-01	9.30000e-01
5.68111e+01	1.16621e-01	9.30000e-01
5.71894e+01	1.18548e-01	9.30000e-01
5.75574e+01	1.20474e-01	9.30000e-01
5.79609e+01	1.21731e-01	9.30000e-01
5.90445e+01	1.23365e-01	9.30000e-01
5.99222e+01	1.24328e-01	9.30000e-01
6.08715e+01	1.25291e-01	9.30000e-01
6.18208e+01	1.26255e-01	9.30000e-01
6.30886e+01	1.27541e-01	9.30000e-01
6.43705e+01	1.28842e-01	9.30000e-01
6.56181e+01	1.30108e-01	9.30000e-01
6.65674e+01	1.31072e-01	9.30000e-01
6.75167e+01	1.32035e-01	9.30000e-01
6.84660e+01	1.32999e-01	9.30000e-01
6.94153e+01	1.33962e-01	9.30000e-01
3.48862e+01	3.35989e-02	1.16000e+00
3.59532e+01	3.47323e-02	1.16000e+00
3.68354e+01	3.56956e-02	1.16000e+00
3.77391e+01	3.66590e-02	1.16000e+00
3.87320e+01	3.77793e-02	1.16000e+00
4.00139e+01	3.92081e-02	1.16000e+00
4.10920e+01	4.05126e-02	1.16000e+00
4.19096e+01	4.14760e-02	1.16000e+00
4.26483e+01	4.24394e-02	1.16000e+00
4.38597e+01	4.38769e-02	1.16000e+00
4.50607e+01	4.53296e-02	1.16000e+00
4.58232e+01	4.62930e-02	1.16000e+00
4.65733e+01	4.72564e-02	1.16000e+00
4.77055e+01	4.86412e-02	1.16000e+00
4.88774e+01	5.01466e-02	1.16000e+00
4.96195e+01	5.11100e-02	1.16000e+00
5.03129e+01	5.20734e-02	1.16000e+00
5.15512e+01	5.37673e-02	1.16000e+00
5.23864e+01	5.49635e-02	1.16000e+00
5.30841e+01	5.59269e-02	1.16000e+00
5.41151e+01	5.73958e-02	1.16000e+00
5.51138e+01	5.88171e-02	1.16000e+00
5.57635e+01	5.97805e-02	1.16000e+00
5.66789e+01	6.11427e-02	1.16000e+00
5.76774e+01	6.26707e-02	1.16000e+00
5.82995e+01	6.36341e-02	1.16000e+00
5.92428e+01	6.51451e-02	1.16000e+00
6.01097e+01	6.65243e-02	1.16000e+00
6.06944e+01	6.74877e-02	1.16000e+00
6.18066e+01	6.93047e-02	1.16000e+00
6.24451e+01	7.03779e-02	1.16000e+00
6.30886e+01	7.14302e-02	1.16000e+00
6.41366e+01	7.32680e-02	1.16000e+00
6.46718e+01	7.42314e-02	1.16000e+00
6.56524e+01	7.60107e-02	1.16000e+00
6.62719e+01	7.71216e-02	1.16000e+00
6.69343e+01	7.83433e-02	1.16000e+00
6.77517e+01	8.00118e-02	1.16000e+00
6.82653e+01	8.09752e-02	1.16000e+00
6.92734e+01	8.29020e-02	1.16000e+00
6.97389e+01	8.38654e-02	1.16000e+00
7.06668e+01	8.57922e-02	1.16000e+00
7.11257e+01	8.67556e-02	1.16000e+00
