# These isoelasticity lines were interpolated from a volume-deformation
# look-up table which was extracted from FEM data and complemented with
# analytical data (https://doi.org/10.6084/m9.figshare.12155064.v3 with
# scripts/fem2iso_volume.py). An equivalent channel radius for a square
# channel (factor of 1.094) is used in the 2D axis-symmetric model (see
# also supplement S3 in https://doi.org/10.1016/j.bpj.2015.09.006).
#
# BEGIN METADATA
# {
#   "authors": "D. Mokbel, M. Mokbel, L.D. Wittwer, S. Aland",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "commit_hash": "43f37eaa",
#   "date": "2019-11-13",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_density": 1000.0,
#   "fluid_density_unit": "kg m^-3",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "lut identifier": "LE-2D-FEM-19",
#   "method": "FEM",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1021/acsbiomaterials.6b00558",
#   "software": "custom C++ code",
#   "solid_density": 1000.0,
#   "solid_density_unit": "kg m^-3",
#   "summary": "2D-axis-symmetric FEM simulation with a linear elastic model"
# }
# END METADATA
#
# volume [um^3]	deform	emodulus [kPa]
1.61819e+02	4.18005e-02	1.08000e+00
1.69780e+02	4.34028e-02	1.08000e+00
1.77049e+02	4.49298e-02	1.08000e+00
1.83506e+02	4.62930e-02	1.08000e+00
1.92279e+02	4.81698e-02	1.08000e+00
1.96595e+02	4.91832e-02	1.08000e+00
2.05202e+02	5.11100e-02	1.08000e+00
2.09417e+02	5.20734e-02	1.08000e+00
2.18539e+02	5.40001e-02	1.08000e+00
2.22858e+02	5.49635e-02	1.08000e+00
2.31238e+02	5.68903e-02	1.08000e+00
2.37969e+02	5.83958e-02	1.08000e+00
2.43862e+02	5.97805e-02	1.08000e+00
2.51457e+02	6.17073e-02	1.08000e+00
2.55701e+02	6.26707e-02	1.08000e+00
2.63333e+02	6.45975e-02	1.08000e+00
2.68429e+02	6.59997e-02	1.08000e+00
2.74473e+02	6.74877e-02	1.08000e+00
2.81948e+02	6.94145e-02	1.08000e+00
2.85528e+02	7.03779e-02	1.08000e+00
2.92564e+02	7.23046e-02	1.08000e+00
2.98889e+02	7.40346e-02	1.08000e+00
3.02946e+02	7.51948e-02	1.08000e+00
3.09658e+02	7.71216e-02	1.08000e+00
3.14119e+02	7.84628e-02	1.08000e+00
3.19123e+02	8.00118e-02	1.08000e+00
3.25526e+02	8.19386e-02	1.08000e+00
3.29349e+02	8.32112e-02	1.08000e+00
3.34451e+02	8.48288e-02	1.08000e+00
3.41093e+02	8.67556e-02	1.08000e+00
3.44579e+02	8.81185e-02	1.08000e+00
3.48926e+02	8.96458e-02	1.08000e+00
3.54314e+02	9.15725e-02	1.08000e+00
3.59712e+02	9.34993e-02	1.08000e+00
3.62044e+02	9.44627e-02	1.08000e+00
3.67001e+02	9.63895e-02	1.08000e+00
3.71902e+02	9.83163e-02	1.08000e+00
3.75038e+02	9.94456e-02	1.08000e+00
3.79714e+02	1.01206e-01	1.08000e+00
3.83264e+02	1.03133e-01	1.08000e+00
3.87109e+02	1.05060e-01	1.08000e+00
3.90268e+02	1.06651e-01	1.08000e+00
3.93214e+02	1.07950e-01	1.08000e+00
3.96625e+02	1.09877e-01	1.08000e+00
4.00110e+02	1.11804e-01	1.08000e+00
4.05498e+02	1.13436e-01	1.08000e+00
4.09311e+02	1.14694e-01	1.08000e+00
4.13657e+02	1.16621e-01	1.08000e+00
4.20535e+02	1.18548e-01	1.08000e+00
4.23887e+02	1.19511e-01	1.08000e+00
4.30286e+02	1.21438e-01	1.08000e+00
4.35958e+02	1.22690e-01	1.08000e+00
4.45877e+02	1.24328e-01	1.08000e+00
4.51711e+02	1.25291e-01	1.08000e+00
4.63378e+02	1.27218e-01	1.08000e+00
4.69212e+02	1.28182e-01	1.08000e+00
4.80810e+02	1.30108e-01	1.08000e+00
4.85030e+02	1.31072e-01	1.08000e+00
4.93453e+02	1.32999e-01	1.08000e+00
4.97664e+02	1.33962e-01	1.08000e+00
5.06086e+02	1.35889e-01	1.08000e+00
5.12108e+02	1.37266e-01	1.08000e+00
5.18720e+02	1.38779e-01	1.08000e+00
5.27338e+02	1.40493e-01	1.08000e+00
5.37208e+02	1.41669e-01	1.08000e+00
5.46138e+02	1.42632e-01	1.08000e+00
5.57798e+02	1.43945e-01	1.08000e+00
5.72350e+02	1.45523e-01	1.08000e+00
5.81239e+02	1.46486e-01	1.08000e+00
5.90127e+02	1.47449e-01	1.08000e+00
1.61819e+02	2.52114e-02	1.36000e+00
1.77049e+02	2.69343e-02	1.36000e+00
1.86336e+02	2.79885e-02	1.36000e+00
1.94329e+02	2.89519e-02	1.36000e+00
2.07509e+02	3.05458e-02	1.36000e+00
2.18473e+02	3.18421e-02	1.36000e+00
2.27360e+02	3.28055e-02	1.36000e+00
2.37969e+02	3.40576e-02	1.36000e+00
2.52039e+02	3.56956e-02	1.36000e+00
2.59577e+02	3.66590e-02	1.36000e+00
2.68429e+02	3.77138e-02	1.36000e+00
2.83148e+02	3.95492e-02	1.36000e+00
2.91206e+02	4.05126e-02	1.36000e+00
2.99015e+02	4.14760e-02	1.36000e+00
3.14119e+02	4.33340e-02	1.36000e+00
3.22215e+02	4.43662e-02	1.36000e+00
