# Isoelastics for elastic spheres deformed
# in a microfluidic channel.
#
# A description of the underlying theory can be found here:
#
#   Numerical Simulation of Real-Time Deformability Cytometry
#   to Extract Cell Mechanical Properties
#   M. Mokbel, D. Mokbel, A. Mietke, N. Träber, S. Girardo,
#   O. Otto, J. Guck, and S. Aland
#   ACS Biomaterials Science & Engineering 3(11) 2017
#   DOI: 10.1021/acsbiomaterials.6b00558
#
# These data were generated by linear interpolation of a look-up 
# table of numerically simulated values. 
# The simulations were performed by S. Aland, D. Mokbel.
# The look-up table was assembled by S. Aland, D. Mokbel, C. Herold.
# The interpolation was performed by C. Herold
#
# - column 1: area_um
# - column 2: deform
# - column 3: emodulus
# - channel width [um]: 20
# - flow rate [ul/s]: 0.04
# - viscosity [mPa*s]: 15
# - method: numerical
# - method details: FEM
#
# apparent_area_um^2 deformation elastic_modulus_kPa
2.88023e+02 3.13374e-02 6.90
2.86994e+02 3.10000e-02 6.90
2.86047e+02 3.07221e-02 6.90
2.84070e+02 3.01520e-02 6.90
2.83558e+02 3.00000e-02 6.90
2.82093e+02 2.95859e-02 6.90
2.80116e+02 2.90166e-02 6.90
2.80060e+02 2.90000e-02 6.90
2.78140e+02 2.84640e-02 6.90
2.76486e+02 2.80000e-02 6.90
2.76163e+02 2.79133e-02 6.90
2.74186e+02 2.73745e-02 6.90
2.72836e+02 2.70000e-02 6.90
2.72209e+02 2.68334e-02 6.90
2.70233e+02 2.62953e-02 6.90
2.69152e+02 2.60000e-02 6.90
2.68256e+02 2.57618e-02 6.90
2.66279e+02 2.52442e-02 6.90
2.65378e+02 2.50000e-02 6.90
2.64302e+02 2.47231e-02 6.90
2.62326e+02 2.42107e-02 6.90
2.61542e+02 2.40000e-02 6.90
2.60349e+02 2.36947e-02 6.90
2.58372e+02 2.31845e-02 6.90
2.57684e+02 2.30000e-02 6.90
2.56395e+02 2.26781e-02 6.90
2.54419e+02 2.21730e-02 6.90
2.53760e+02 2.20000e-02 6.90
2.52442e+02 2.16743e-02 6.90
2.50465e+02 2.11944e-02 6.90
2.49692e+02 2.10000e-02 6.90
2.48488e+02 2.07200e-02 6.90
2.46512e+02 2.02573e-02 6.90
2.45418e+02 2.00000e-02 6.90
2.44535e+02 1.98079e-02 6.90
2.42558e+02 1.93745e-02 6.90
2.40922e+02 1.90000e-02 6.90
2.40581e+02 1.89289e-02 6.90
2.38605e+02 1.85034e-02 6.90
2.36628e+02 1.80490e-02 6.90
2.36417e+02 1.80000e-02 6.90
2.34651e+02 1.76184e-02 6.90
2.32674e+02 1.72018e-02 6.90
2.31753e+02 1.70000e-02 6.90
2.30698e+02 1.67924e-02 6.90
2.28721e+02 1.64039e-02 6.90
2.26795e+02 1.60000e-02 6.90
2.26744e+02 1.59906e-02 6.90
