# This look-up table was generated with a custom Matlab script written
# by Alexander Mietke (https://doi.org/10.1016/j.bpj.2015.09.006). The
# data are isoelasticity lines of the analytical solution, taking into
# account the equivalent channel radius for a square channel using the
# factor 1.094 (see supplement S3). The object was modeled as a linear
# elastic sphere in a 20 um square channel for a medium with viscosity
# 15 mPa*s at a flow rate of 0.04 uL/s. These data are used to fill in
# missing values for numerical (FEM) simulations which can be prone to
# inaccuracies at lower values for deformation and size.
#
# BEGIN METADATA
# {
#   "authors": "A. Mietke, C. Herold, J. Guck",
#   "channel_width": 20.0,
#   "channel_width_unit": "um",
#   "date": "2018-01-30",
#   "dimensionality": "2Daxis",
#   "flow_rate": 0.04,
#   "flow_rate_unit": "uL/s",
#   "fluid_viscosity": 15.0,
#   "fluid_viscosity_unit": "mPa s",
#   "method": "analytical",
#   "model": "linear elastic",
#   "publication": "https://doi.org/10.1016/j.bpj.2015.09.006",
#   "software": "custom Matlab code",
#   "summary": "2D-axis-symmetric analytical solution for a linear elastic sphere"
# }
# END METADATA
#
# area_um [um^2]	deform	emodulus [kPa]
3.36043e+01	6.36019e-04	7.97000e+00
3.55935e+01	6.75220e-04	7.97000e+00
3.75826e+01	7.14718e-04	7.97000e+00
3.95716e+01	7.54535e-04	7.97000e+00
4.15606e+01	7.94693e-04	7.97000e+00
4.35494e+01	8.35213e-04	7.97000e+00
4.55383e+01	8.76119e-04	7.97000e+00
4.75270e+01	9.17433e-04	7.97000e+00
4.95156e+01	9.59177e-04	7.97000e+00
5.15042e+01	1.00138e-03	7.97000e+00
5.34927e+01	1.04405e-03	7.97000e+00
5.54810e+01	1.08723e-03	7.97000e+00
5.74693e+01	1.13093e-03	7.97000e+00
5.94575e+01	1.17519e-03	7.97000e+00
6.14456e+01	1.22002e-03	7.97000e+00
6.34336e+01	1.26546e-03	7.97000e+00
6.54214e+01	1.31152e-03	7.97000e+00
6.74092e+01	1.35823e-03	7.97000e+00
6.93968e+01	1.40563e-03	7.97000e+00
7.13843e+01	1.45374e-03	7.97000e+00
7.33717e+01	1.50259e-03	7.97000e+00
7.53590e+01	1.55221e-03	7.97000e+00
7.73461e+01	1.60262e-03	7.97000e+00
7.93330e+01	1.65386e-03	7.97000e+00
8.13199e+01	1.70597e-03	7.97000e+00
8.33065e+01	1.75896e-03	7.97000e+00
8.52930e+01	1.81288e-03	7.97000e+00
8.72793e+01	1.86776e-03	7.97000e+00
8.92655e+01	1.92364e-03	7.97000e+00
9.12514e+01	1.98054e-03	7.97000e+00
9.32372e+01	2.03852e-03	7.97000e+00
9.52228e+01	2.09760e-03	7.97000e+00
9.72082e+01	2.15782e-03	7.97000e+00
9.91933e+01	2.21924e-03	7.97000e+00
1.01178e+02	2.28188e-03	7.97000e+00
1.03163e+02	2.34580e-03	7.97000e+00
1.05147e+02	2.41104e-03	7.97000e+00
1.07132e+02	2.47764e-03	7.97000e+00
1.09116e+02	2.54566e-03	7.97000e+00
1.11099e+02	2.61515e-03	7.97000e+00
1.13083e+02	2.68615e-03	7.97000e+00
1.15066e+02	2.75872e-03	7.97000e+00
1.17049e+02	2.83293e-03	7.97000e+00
1.19031e+02	2.90882e-03	7.97000e+00
1.21013e+02	2.98646e-03	7.97000e+00
1.22995e+02	3.06592e-03	7.97000e+00
1.24976e+02	3.14725e-03	7.97000e+00
1.26958e+02	3.23054e-03	7.97000e+00
1.28938e+02	3.31584e-03	7.97000e+00
1.30919e+02	3.40324e-03	7.97000e+00
1.32898e+02	3.49281e-03	7.97000e+00
1.34878e+02	3.58464e-03	7.97000e+00
1.36857e+02	3.67881e-03	7.97000e+00
1.38835e+02	3.77540e-03	7.97000e+00
1.40813e+02	3.87452e-03	7.97000e+00
1.42791e+02	3.97627e-03	7.97000e+00
1.44768e+02	4.08073e-03	7.97000e+00
1.46744e+02	4.18802e-03	7.97000e+00
1.48720e+02	4.29825e-03	7.97000e+00
1.50695e+02	4.41154e-03	7.97000e+00
1.52670e+02	4.52801e-03	7.97000e+00
1.54644e+02	4.64779e-03	7.97000e+00
1.56617e+02	4.77101e-03	7.97000e+00
1.58589e+02	4.89781e-03	7.97000e+00
1.60561e+02	5.02835e-03	7.97000e+00
1.62532e+02	5.16278e-03	7.97000e+00
1.64502e+02	5.30127e-03	7.97000e+00
1.66471e+02	5.44398e-03	7.97000e+00
1.68440e+02	5.59110e-03	7.97000e+00
1.70407e+02	5.74282e-03	7.97000e+00
1.72374e+02	5.89934e-03	7.97000e+00
1.74339e+02	6.06088e-03	7.97000e+00
1.76303e+02	6.22766e-03	7.97000e+00
1.78267e+02	6.39991e-03	7.97000e+00
1.80229e+02	6.57789e-03	7.97000e+00
1.82189e+02	6.76185e-03	7.97000e+00
1.84149e+02	6.95209e-03	7.97000e+00
1.86107e+02	7.14889e-03	7.97000e+00
1.88064e+02	7.35256e-03	7.97000e+00
1.90019e+02	7.56344e-03	7.97000e+00
1.91973e+02	7.78187e-03	7.97000e+00
1.93925e+02	8.00823e-03	7.97000e+00
1.95875e+02	8.24291e-03	7.97000e+00
1.97824e+02	8.48633e-03	7.97000e+00
3.36049e+01	5.83330e-04	8.32218e+00
3.55942e+01	6.19283e-04	8.32218e+00
3.75834e+01	6.55509e-04	8.32218e+00
3.95725e+01	6.92027e-04	8.32218e+00
4.15615e+01	7.28858e-04	8.32218e+00
4.35505e+01	7.66021e-04	8.32218e+00
4.55394e+01	8.03538e-04	8.32218e+00
4.75283e+01	8.41428e-04	8.32218e+00
4.95171e+01	8.79714e-04	8.32218e+00
5.15057e+01	9.18416e-04	8.32218e+00
5.34943e+01	9.57557e-04	8.32218e+00
5.54829e+01	9.97157e-04	8.32218e+00
5.74713e+01	1.03724e-03	8.32218e+00
5.94597e+01	1.07783e-03	8.32218e+00
6.14479e+01	1.11895e-03	8.32218e+00
6.34361e+01	1.16062e-03	8.32218e+00
6.54241e+01	1.20286e-03	8.32218e+00
6.74121e+01	1.24571e-03	8.32218e+00
6.93999e+01	1.28918e-03	8.32218e+00
7.13876e+01	1.33331e-03	8.32218e+00
7.33753e+01	1.37811e-03	8.32218e+00
7.53627e+01	1.42361e-03	8.32218e+00
7.73501e+01	1.46985e-03	8.32218e+00
7.93373e+01	1.51685e-03	8.32218e+00
8.13244e+01	1.56463e-03	8.32218e+00
8.33114e+01	1.61324e-03	8.32218e+00
8.52982e+01	1.66269e-03	8.32218e+00
8.72848e+01	1.71303e-03	8.32218e+00
8.92713e+01	1.76427e-03	8.32218e+00
9.12576e+01	1.81647e-03	8.32218e+00
9.32437e+01	1.86964e-03	8.32218e+00
9.52297e+01	1.92382e-03	8.32218e+00
9.72154e+01	1.97906e-03	8.32218e+00
9.92010e+01	2.03539e-03	8.32218e+00
1.01186e+02	2.09285e-03	8.32218e+00
1.03172e+02	2.15147e-03	8.32218e+00
1.05156e+02	2.21131e-03	8.32218e+00
1.07141e+02	2.27239e-03	8.32218e+00
1.09126e+02	2.33478e-03	8.32218e+00
1.11110e+02	2.39851e-03	8.32218e+00
1.13094e+02	2.46363e-03	8.32218e+00
1.15077e+02	2.53020e-03	8.32218e+00
1.17061e+02	2.59826e-03	8.32218e+00
1.19044e+02	2.66787e-03	8.32218e+00
1.21027e+02	2.73909e-03	8.32218e+00
1.23009e+02	2.81196e-03	8.32218e+00
1.24991e+02	2.88656e-03	8.32218e+00
1.26973e+02	2.96295e-03	8.32218e+00
1.28955e+02	3.04120e-03	8.32218e+00
1.30936e+02	3.12136e-03	8.32218e+00
1.32917e+02	3.20352e-03	8.32218e+00
1.34897e+02	3.28775e-03	8.32218e+00
1.36877e+02	3.37412e-03	8.32218e+00
1.38856e+02	3.46272e-03	8.32218e+00
1.40835e+02	3.55364e-03	8.32218e+00
1.42814e+02	3.64697e-03	8.32218e+00
1.44792e+02	3.74279e-03	8.32218e+00
1.46769e+02	3.84120e-03	8.32218e+00
1.48746e+02	3.94231e-03	8.32218e+00
1.50723e+02	4.04623e-03	8.32218e+00
1.52699e+02	4.15307e-03	8.32218e+00
1.54674e+02	4.26294e-03	8.32218e+00
1.56649e+02	4.37597e-03	8.32218e+00
1.58622e+02	4.49229e-03	8.32218e+00
1.60596e+02	4.61203e-03	8.32218e+00
1.62568e+02	4.73535e-03	8.32218e+00
1.64540e+02	4.86238e-03	8.32218e+00
1.66511e+02	4.99330e-03	8.32218e+00
1.68481e+02	5.12826e-03	8.32218e+00
1.70451e+02	5.26744e-03	8.32218e+00
1.72419e+02	5.41103e-03	8.32218e+00
1.74386e+02	5.55922e-03	8.32218e+00
1.76353e+02	5.71222e-03	8.32218e+00
1.78318e+02	5.87024e-03	8.32218e+00
1.80283e+02	6.03352e-03	8.32218e+00
1.82246e+02	6.20229e-03	8.32218e+00
1.84208e+02	6.37682e-03	8.32218e+00
1.86169e+02	6.55737e-03	8.32218e+00
1.88128e+02	6.74423e-03	8.32218e+00
1.90086e+02	6.93771e-03	8.32218e+00
1.92043e+02	7.13812e-03	8.32218e+00
1.93998e+02	7.34580e-03	8.32218e+00
1.95952e+02	7.56112e-03	8.32218e+00
1.97904e+02	7.78446e-03	8.32218e+00
3.36055e+01	5.33986e-04	8.69823e+00
3.55949e+01	5.66897e-04	8.69823e+00
3.75841e+01	6.00058e-04	8.69823e+00
3.95733e+01	6.33486e-04	8.69823e+00
4.15625e+01	6.67201e-04	8.69823e+00
4.35515e+01	7.01220e-04	8.69823e+00
4.55406e+01	7.35563e-04	8.69823e+00
4.75295e+01	7.70248e-04	8.69823e+00
4.95184e+01	8.05294e-04	8.69823e+00
5.15072e+01	8.40722e-04	8.69823e+00
5.34959e+01	8.76551e-04	8.69823e+00
5.54846e+01	9.12802e-04	8.69823e+00
5.74732e+01	9.49494e-04	8.69823e+00
5.94617e+01	9.86649e-04	8.69823e+00
6.14501e+01	1.02429e-03	8.69823e+00
6.34384e+01	1.06243e-03	8.69823e+00
6.54266e+01	1.10110e-03	8.69823e+00
6.74148e+01	1.14033e-03	8.69823e+00
6.94028e+01	1.18012e-03	8.69823e+00
7.13907e+01	1.22051e-03	8.69823e+00
7.33786e+01	1.26152e-03	8.69823e+00
7.53663e+01	1.30318e-03	8.69823e+00
7.73539e+01	1.34551e-03	8.69823e+00
7.93413e+01	1.38853e-03	8.69823e+00
8.13287e+01	1.43227e-03	8.69823e+00
8.33159e+01	1.47676e-03	8.69823e+00
8.53030e+01	1.52204e-03	8.69823e+00
8.72899e+01	1.56811e-03	8.69823e+00
8.92767e+01	1.61502e-03	8.69823e+00
9.12633e+01	1.66280e-03	8.69823e+00
9.32498e+01	1.71148e-03	8.69823e+00
9.52361e+01	1.76108e-03	8.69823e+00
9.72222e+01	1.81165e-03	8.69823e+00
9.92082e+01	1.86321e-03	8.69823e+00
1.01194e+02	1.91581e-03	8.69823e+00
1.03180e+02	1.96947e-03	8.69823e+00
1.05165e+02	2.02425e-03	8.69823e+00
1.07150e+02	2.08017e-03	8.69823e+00
1.09135e+02	2.13728e-03	8.69823e+00
1.11120e+02	2.19562e-03	8.69823e+00
1.13104e+02	2.25524e-03	8.69823e+00
1.15088e+02	2.31618e-03	8.69823e+00
1.17072e+02	2.37848e-03	8.69823e+00
1.19056e+02	2.44221e-03	8.69823e+00
1.21040e+02	2.50740e-03	8.69823e+00
1.23023e+02	2.57412e-03	8.69823e+00
1.25006e+02	2.64241e-03	8.69823e+00
1.26988e+02	2.71234e-03	8.69823e+00
1.28970e+02	2.78397e-03	8.69823e+00
1.30952e+02	2.85736e-03	8.69823e+00
1.32934e+02	2.93257e-03	8.69823e+00
1.34915e+02	3.00968e-03	8.69823e+00
1.36896e+02	3.08876e-03	8.69823e+00
1.38876e+02	3.16987e-03	8.69823e+00
